0,1,2,3,4,5,6,7,8,9
,,,,,,,w.r.t.,,
,Division,Very,Mod.,,,Division,,,
Division,,,,Open,,,2021,Scrub,
,Boundary,Dense,Dense,,Total,Bound-,,,
,,,,Forest,,,Raster,,
,Area#,Forest,Forest,,,ary,,,
,,,,,,,based*,,
,,,,,,Area,,,
Anakapalli,"4,115.77",0.00,229.31,611.89,841.20,20.44,-8.50,268.22,
Anantapur,"10,205.40",0.00,23.17,217.97,241.14,2.36,-0.68,543.04,
Annamayya,"9,072.54",28.48,"1,294.69","1,057.85","2,381.02",26.24,-5.17,571.78,
Bapatla,"3,762.32",0.00,12.42,45.51,57.93,1.54,0.54,29.00,
Bhimavaram,"2,142.36",0.00,0.33,61.14,61.47,2.87,9.20,0.01,
Chintapalli,"2,600.31",71.52,"1,025.62",451.79,"1,548.93",59.57,-16.69,80.04,
Chintur,"2,082.04",558.51,504.55,74.70,"1,137.76",54.65,-24.55,10.89,
Chittoor,"6,783.63",0.00,471.07,805.36,"1,276.43",18.82,-6.36,627.07,
DD Giddalur,"1,735.20",118.34,601.01,207.77,927.12,53.43,-3.58,107.75,
DD Markapur,"4,387.00",137.84,832.15,633.10,"1,603.09",36.54,-10.16,538.82,
DDPT Atmakur,"2,833.62",39.57,703.10,234.58,977.25,34.49,-3.13,86.05,
Dr.B.R.Ambedkar,,,,,,,,,
,"2,319.16",0.00,59.35,345.25,404.60,17.45,10.57,0.92,
Konasema,,,,,,,,,
East Godavari,"2,621.60",0.00,119.04,290.71,409.75,15.63,-6.24,6.42,
Eluru,"6,789.16",366.70,485.22,826.19,"1,678.11",24.72,-6.88,23.68,
Guntur,"2,508.14",0.00,2.30,34.63,36.93,1.47,-0.67,14.34,
Kadapa,"10,109.30",10.11,"1,459.90",861.28,"2,331.29",23.06,-5.40,704.99,
Kakinada,"7,277.09",552.32,"1,840.81",999.29,"3,392.42",46.62,-47.10,170.00,
Krishna,"3,544.01",0.00,5.46,92.82,98.28,2.77,4.29,3.56,
Kurnool,"7,975.69",0.00,0.93,77.70,78.63,0.99,-2.52,154.30,
Nandyal,"6,884.90",46.42,797.10,266.14,"1,109.66",16.12,-2.84,442.63,
NTR,"3,292.14",34.93,77.35,250.88,363.16,11.03,-8.96,22.63,
Paderu,"3,734.94",0.00,507.03,712.36,"1,219.39",32.65,-8.20,572.09,
Palnadu,"6,567.67",0.96,221.77,431.42,654.15,9.96,-5.64,357.40,
Parvathipuram,,,,,,,,,
,"3,591.12",0.00,227.79,770.37,998.16,27.80,-28.06,294.18,
Manyam,,,,,,,,,
Prakasam,"8,891.98",0.00,369.13,438.76,807.89,9.09,1.30,574.30,
SPSR Nellore,"10,412.20",21.69,466.06,663.01,"1,150.76",11.05,18.17,674.25,
Sri Sathya Sai,"8,952.92",0.00,186.68,571.24,757.92,8.47,0.74,552.36,
Srikakulam,"4,463.59",0.00,81.16,504.06,585.22,13.11,6.81,318.41,
Tirupati,"8,311.63",1.60,816.94,"1,138.90","1,957.44",23.55,-17.68,491.56,
Visakhapatnam,"1,174.60",0.00,112.76,202.49,315.25,26.84,-6.51,5.08,
Vizianagaram,"3,866.68",0.00,34.69,341.51,376.20,9.73,34.71,77.29,
WLM Eluru,268.32,0.00,44.13,38.79,82.92,30.90,5.87,0.07,
Area which does not,,,,,,,,,
,748.30,6.72,112.73,104.04,223.49,29.87,-5.34,28.49,
fall in any Division,,,,,,,,,
Grand Total,"1,64,025.33","1,995.71","13,725.75","14,363.50","30,084.96",18.34,-138.66,"8,351.62",
#As per the division boundary shapefile provided by State Forest Department.,,,,,,,,,
,,Digitized,,,Open,,,Scrub,
No.,Body,,Dense,Dense,,Forest,w.r.t.,,
,,Boundary*,,,Forest,,,,
,,,Forest,Forest,,Cover,Area of,,
,,,,,,,Digitized,,
,,,,,,,Boundary,,
1,Addanki,28.37,0.00,0.00,0.07,0.07,0.25,0.10,
2,Adoni,79.70,0.00,0.00,0.30,0.30,0.38,0.88,
3,Akivedu,11.24,0.00,0.00,0.00,0.00,0.00,0.00,
4,Allagadda,63.48,0.00,0.00,0.00,0.00,0.00,0.00,
5,Allur,94.51,0.00,0.05,0.47,0.52,0.55,0.00,
6,Amalapuram,6.99,0.00,0.00,0.55,0.55,7.87,0.00,
7,Ammudavalsa,27.26,0.00,0.00,0.39,0.39,1.43,0.30,
8,Ananthapur,16.58,0.00,0.00,0.25,0.25,1.51,0.01,
9,Atmakur-Kurnool,30.27,0.00,0.00,0.10,0.10,0.33,0.00,
10,Atmakur-Nellore,58.61,0.00,0.00,0.36,0.36,0.61,2.28,
11,B.Kothakota,40.93,0.00,0.00,0.08,0.08,0.20,0.00,
12,Badvel,51.01,0.00,0.00,0.02,0.02,0.04,1.54,
13,Bapatla,110.87,0.00,2.75,9.04,11.79,10.63,1.18,
14,Betamcherla,10.49,0.00,0.00,0.00,0.00,0.00,0.17,
15,Bhimavaram,45.26,0.00,0.00,0.00,0.00,0.00,0.00,
16,Bobbili,26.04,0.00,0.00,0.00,0.00,0.00,0.12,
17,Buchireddypalem,35.00,0.00,0.00,0.11,0.11,0.31,0.40,
18,Chilakaluripeta,18.63,0.00,0.00,0.00,0.00,0.00,0.00,
19,Chimakurthy,29.67,0.00,0.01,0.09,0.10,0.34,0.66,
20,Chintalapudi,39.35,0.00,0.23,3.96,4.19,10.65,0.57,
21,Chirala,13.74,0.00,0.00,0.09,0.09,0.66,0.00,
22,Chittoor,113.07,0.00,0.02,2.67,2.69,2.38,18.48,
23,Dachepalli,53.30,0.00,0.00,0.14,0.14,0.26,0.20,
24,Darsi,28.53,0.00,0.00,0.08,0.08,0.28,0.70,
25,Dharmavaram,44.14,0.00,0.00,0.00,0.00,0.00,0.06,
26,Dhone,9.93,0.00,0.00,0.02,0.02,0.20,0.58,
27,Eluru,60.96,0.00,0.00,1.89,1.89,3.10,0.00,
28,Giddalur,32.41,0.00,0.00,0.05,0.05,0.15,0.33,
29,Gollaprolu,14.55,0.00,0.00,0.00,0.00,0.00,0.00,
30,Gooty,35.32,0.00,0.00,0.31,0.31,0.88,4.43,
31,Gudivada,45.58,0.00,0.00,0.00,0.00,0.00,0.00,
32,Gudur-kurnool,47.55,0.00,0.00,0.00,0.00,0.00,0.00,
33,Gudur-Nellore,98.92,0.00,1.28,4.49,5.77,5.83,3.19,
34,Guntakal,39.76,0.00,0.00,0.00,0.00,0.00,0.00,
35,Guntur,165.50,0.00,0.00,0.00,0.00,0.00,0.21,
36,Gurajala,43.66,0.00,0.00,0.00,0.00,0.00,0.00,
37,GVMC,615.53,0.00,68.59,114.10,182.69,29.68,4.31,
38,Hindupur,38.78,0.00,0.00,0.01,0.01,0.03,0.41,
39,Ichhapuram,21.08,0.00,0.00,1.05,1.05,4.98,0.09,
40,Jaggaiahpeta,17.54,0.00,0.00,0.09,0.09,0.51,0.00,
41,Jammalamadugu,26.26,0.00,0.00,0.00,0.00,0.00,0.00,
,,Table 10.1.5 Forest Cover in Municipal Areas of Andhra Pradesh,,,,,,,
,,,,,,,,,(km2)
,,,,,2023 Assessment,,,%,
,,,,,,,,of Total,
,,,,,,,,Forest,
,,,Area as per,,,,,,
,Sl.,Name of Urban Local,,Very,Mod.,,Total,Cover,
,,,Digitized,,,Open,,,Scrub
,No.,Body,,Dense,Dense,,Forest,w.r.t.,
,,,Boundary*,,,Forest,,,
,,,,Forest,Forest,,Cover,Area of,
,,,,,,,,Digitized,
,,,,,,,,Boundary,
,42,Jangareddigudem,25.07,0.00,0.00,1.84,1.84,7.34,0.00
,43,Kadapa,164.14,0.00,32.05,11.15,43.20,26.32,1.58
,44,Kadiri,43.44,0.00,0.00,0.08,0.08,0.18,0.74
,45,Kakinada,31.58,0.00,0.00,3.25,3.25,10.29,0.00
,46,Kalyanadurgam,55.85,0.00,0.00,2.28,2.28,4.08,1.55
,47,Kamalapuram,21.57,0.00,0.00,0.00,0.00,0.00,0.20
,48,Kandukur,72.49,0.00,0.00,1.11,1.11,1.53,0.75
,49,Kanigiri,46.71,0.00,0.00,0.16,0.16,0.34,0.61
,50,Kavali,75.52,0.00,1.03,4.89,5.92,7.84,2.45
,51,Kondapalli,30.30,0.08,0.00,1.58,1.66,5.48,0.04
,52,Kovvur,14.85,0.00,0.00,0.00,0.00,0.00,0.00
,53,Kuppam,46.33,0.00,0.00,0.00,0.00,0.00,0.00
,54,Kurnool,114.75,0.00,0.00,0.46,0.46,0.40,0.04
,55,Macharla,36.57,0.00,0.00,0.00,0.00,0.00,0.63
,56,Machilipatnam,29.42,0.00,0.00,0.09,0.09,0.31,0.00
,57,Madakasira,35.42,0.00,1.72,3.13,4.85,13.69,2.11
,58,Madanapalle,15.22,0.00,0.00,0.01,0.01,0.07,0.04
,59,Mandapeta,21.33,0.00,0.00,0.00,0.00,0.00,0.00
,60,Mangalagiri-Tadepa,191.46,0.00,0.00,1.28,1.28,0.67,6.34
,61,Markapur,24.11,0.00,0.00,0.00,0.00,0.00,0.05
,62,Mummadivaram,25.80,0.00,0.00,8.72,8.72,33.80,0.00
,63,Mydakur,61.80,0.00,0.00,1.38,1.38,2.23,3.35
,64,Nagari,27.14,0.00,0.00,0.15,0.15,0.55,1.73
,65,Naidupet,17.42,0.00,0.00,0.00,0.00,0.00,0.04
,66,Nandigama,31.06,0.00,0.00,0.05,0.05,0.16,0.79
,67,Nandikotkur,22.88,0.00,0.00,0.00,0.00,0.00,0.00
,68,Nandyal,59.17,0.00,0.00,0.00,0.00,0.00,0.00
,69,Narasaraopet,15.02,0.00,0.00,0.00,0.00,0.00,0.00
,70,Narsapuram,11.81,0.00,0.00,0.12,0.12,1.02,0.00
,71,Narsipatnam,32.42,0.00,0.00,0.65,0.65,2.00,0.30
,72,Nellimarla,19.84,0.00,0.44,2.48,2.92,14.72,1.84
,73,Nellore,145.65,0.00,0.00,0.85,0.85,0.58,0.22
,74,Nidadavole,14.09,0.00,0.00,0.12,0.12,0.85,0.00
,75,Nuzvid,30.12,0.00,0.00,2.79,2.79,9.26,0.10
,76,Ongole,131.18,0.00,0.00,0.07,0.07,0.05,0.00
,77,Palakollu,28.30,0.00,0.00,2.29,2.29,8.09,0.00
,78,Palakonda,11.46,0.00,0.00,0.00,0.00,0.00,0.18
,79,Palamaneru,17.58,0.00,0.00,0.03,0.03,0.17,0.15
,80,Palasa Kasibugga,31.45,0.00,0.00,0.33,0.33,1.05,2.05
,81,Parvathipuram,13.20,0.00,0.00,0.00,0.00,0.00,0.00
,82,Pedana,12.57,0.00,0.00,0.02,0.02,0.16,0.00
6,,,,,,,,,
,83,Peddapuram,42.14,0.00,0.00,2.25,2.25,5.34,0.00
,,Digitized,,,Open,,,Scrub,
No.,Body,,Dense,Dense,,Forest,w.r.t.,,
,,Boundary*,,,Forest,,,,
,,,Forest,Forest,,Cover,Area of,,
,,,,,,,Digitized,,
,,,,,,,Boundary,,
84,Penukonda,68.35,0.00,0.00,13.96,13.96,20.42,14.32,
85,Piduguralla,31.82,0.00,0.00,0.00,0.00,0.00,0.00,
86,Pithapuram,19.96,0.00,0.00,0.00,0.00,0.00,0.00,
87,Podili,70.36,0.00,0.01,0.10,0.11,0.16,0.96,
88,Ponnur,57.43,0.00,0.00,0.00,0.00,0.00,0.00,
89,Proddutur,7.16,0.00,0.00,0.00,0.00,0.00,0.00,
90,Pullivendula,83.49,0.00,0.00,0.00,0.00,0.00,0.67,
91,Punganur,24.52,0.00,0.00,0.00,0.00,0.00,0.00,
92,Puttaparthi,58.76,0.00,0.34,1.76,2.10,3.57,2.34,
93,Puttur,37.13,0.00,0.01,1.69,1.70,4.58,5.06,
94,Rajahmundry,79.04,0.00,0.22,3.75,3.97,5.02,0.00,
95,Rajam,26.88,0.00,0.00,0.19,0.19,0.71,0.06,
96,Rajampet,5.75,0.00,0.00,0.00,0.00,0.00,0.00,
97,Ramchandrapuram,14.05,0.00,0.00,0.00,0.00,0.00,0.00,
98,Rayachoti,26.97,0.00,0.00,0.05,0.05,0.19,0.00,
99,Rayadurgam,38.94,0.00,0.05,1.08,1.13,2.90,4.51,
100,Repalle,10.41,0.00,0.00,0.00,0.00,0.00,0.00,
101,Saluru,20.19,0.00,0.00,0.35,0.35,1.73,0.04,
102,Samarlakota,40.31,0.00,0.00,0.00,0.00,0.00,0.00,
103,Sattenapalle,22.14,0.00,0.00,0.00,0.00,0.00,0.00,
104,Srikakulam,49.71,0.00,0.50,0.29,0.79,1.59,0.00,
105,Srikalhasti,58.87,0.00,0.00,6.89,6.89,11.70,7.35,
106,Sullurpet,20.77,0.00,0.00,0.10,0.10,0.48,0.15,
107,Tadepalligudem,55.11,0.00,0.00,2.09,2.09,3.79,0.00,
108,Tadipatri,7.82,0.00,0.00,0.00,0.00,0.00,0.00,
109,Tanuku,24.96,0.00,0.00,0.00,0.00,0.00,0.00,
110,Tenali,16.36,0.00,0.00,0.09,0.09,0.55,0.00,
111,Tirupati,28.33,0.00,0.27,4.59,4.86,17.15,0.30,
112,Tiruvuru,27.24,0.00,0.85,0.44,1.29,4.74,0.00,
113,Tuni,8.06,0.00,0.00,0.14,0.14,1.74,1.42,
114,Venkatagiri,23.78,0.00,0.00,0.00,0.00,0.00,1.45,
115,Vijayawada,61.15,0.00,0.00,0.41,0.41,0.67,0.67,
116,Vinukonda,24.72,0.00,0.00,0.19,0.19,0.77,0.43,
117,Vizianagaram,51.28,0.00,0.74,1.75,2.49,4.86,1.04,
118,Vuyyuru,11.96,0.00,0.00,0.00,0.00,0.00,0.00,
119,Yelamanchili,39.33,0.00,0.00,1.64,1.64,4.17,0.52,
120,Yeleswaram,6.10,0.00,0.00,0.09,0.09,1.48,0.00,
121,Yemmiganur,17.05,0.00,0.00,0.00,0.00,0.00,0.00,
122,Yerraguntla,13.69,0.00,0.00,0.00,0.00,0.00,0.00,
123,YSR Tadigadapa,30.75,0.00,0.00,0.03,0.03,0.10,0.00,
Grand Total,,"5,609.30",0.08,111.16,236.06,347.30,6.19,110.37,
*Shapefile of digitized boundary as provided by Directorate of Town & Country Planning.,,,,,,,,,
,,2023 Assessment inside RFA/GW,,,,Total ISFR,,,
,,,,,,2021 inside,,,
Class,,,,,NF,,,,
,VDF,MDF,OF,Scrub,,RFA / GW,,,
,,,,,,Raster based*,,,
VDF,"1,903.86",5.64,3.51,1.78,10.43,"1,925.22",,,
MDF,21.46,"12,398.54",58.79,32.05,77.42,"12,588.26",,,
OF,0.00,62.14,"9,216.42",79.46,79.73,"9,437.75",,,
Scrub,0.00,0.36,111.82,"4,568.24",34.61,"4,715.03",,,
NF,0.00,3.02,82.20,117.86,"8,226.12","8,429.20",,,
Total ISFR,,,,,,,,,
2023 inside,"1,925.32","12,469.70","9,472.74","4,799.39","8,428.31","37,095.46",,,
RFA/GW,,,,,,,,,
Net Change,0.10,-118.56,34.99,84.36,-0.89,,,,
*Area figure calculated without normalization factor.,,,,,,,,,
,Table 10.1.8 Forest Cover Change Matrix Outside RFA/GW for,,,,,,,,
,Andhra Pradesh between 2021 Raster based and 2023 Assessments,,,,,,,,
,,,,,,(km2),,,
,,2023 Assessment outside RFA/GW,,,,Total ISFR,,,
,,,,,,2021 outside,,,
Class,,,,,NF,,,,
,VDF,MDF,OF,Scrub,,RFA / GW,,,
,,,,,,Raster based*,,,
VDF,70.12,0.79,0.46,0.20,0.88,72.45,,,
MDF,0.24,"1,253.63",26.29,11.53,33.07,"1,324.76",,,
OF,0.00,1.28,"4,627.17",46.38,200.35,"4,875.18",,,
Scrub,0.00,0.07,24.17,"3,389.98",90.37,"3,504.59",,,
NF,0.03,0.28,212.67,104.14,"1,15,733.01","1,16,050.13",,,
Total ISFR,,,,,,,,,
2023 outside,70.39,"1,256.05","4,890.76","3,552.23","1,16,057.68","1,25,827.11",,,
RFA/GW,,,,,,,,,
Net Change,-2.06,-68.71,15.58,47.64,7.55,,,,
*Area figure calculated without normalization factor.,,,,,,,,,
,,ANDHRA PRADESH,,,,,,,
,,Figure 10.1.3 Forest Cover Map of Andhra Pradesh,,,,,,,
10,Forest Survey of India,,,,,,,,
Pradesh,,,,,,,,,
,,,% of the total,,,,,,
Sl. No.,Forest Type,Area,,,,,,,
,,,mapped area*,,,,,,
1,3B/C2 Southern moist mixed deciduous forest,"1,733.76",4.47,,,,,,
2,4A/L1 Littoral forest,66.42,0.17,,,,,,
3,4B/TS2  Mangrove forest,418.07,1.08,,,,,,
4,5A/C1b Dry teak forest,546.16,1.41,,,,,,
5,5A/C2 Dry red sanders-bearing forest,"1,115.87",2.88,,,,,,
6,5A/C3 Southern dry mixed deciduous forest,"15,128.05",39.00,,,,,,
7,5B/C1c Dry peninsular sal forest,0.55,0.00,,,,,,
8,5B/C2 Northern dry mixed deciduous forest,0.69,0.00,,,,,,
9,5/DS1 Dry deciduous scrub,"12,551.35",32.36,,,,,,
10,5/DS2 Dry savannah forest,34.61,0.09,,,,,,
11,5/E4 Hardwickia forest,9.04,0.02,,,,,,
12,5/E9 Dry bamboo brake,304.51,0.79,,,,,,
13,5/2S1 Secondary dry deciduous forest,727.89,1.88,,,,,,
14,6A/C1 Southern thorn forest,"1,677.28",4.32,,,,,,
15,6A/C2 Carnatic umbrella thorn forest,21.44,0.06,,,,,,
16,6A/DS1 Southern thorn scrub,11.64,0.03,,,,,,
17,6A/DS2 Southern Euphorbia scrub,0.27,0.00,,,,,,
18,7/C1 Tropical dry evergreen forest,426.73,1.10,,,,,,
19,7/DS1 Tropical dry evergreen scrub,17.16,0.04,,,,,,
,Sub Total,"34,791.49",89.70,,,,,,
20,TOF/Plantation,"3,645.09",9.39,,,,,,
Total (Forest Cover & Scrub),,"38,436.58",99.09,,,,,,
Grassland forest type (outside forest cover),,,,,,,,,
21,5/DS4 Dry grassland,352.08,0.91,,,,,,
Sub Total,,352.08,0.91,,,,,,
Grand  Total,,"38,788.66",100.00,,,,,,
Table 10.1.12 District-wise Number of Forest Fire Detected,,,,,,,,,
,,SNPP-VIIRS Detection,SNPP-VIIRS Detection,,,,,,
Sl. No.,District,,,,,,,,
,,during 2022-23,during 2023-24,,,,,,
1,Alluri Sitharama Raju,"3,639","6,399",,,,,,
2,Anakapalli,194,126,,,,,,
3,Ananthapuramu,261,138,,,,,,
4,Annamayya,"2,434","1,141",,,,,,
5,Bapatla,6,7,,,,,,
6,Chittoor,782,"1,075",,,,,,
7,East Godavari,10,19,,,,,,
8,Eluru,256,834,,,,,,
9,Guntur,2,1,,,,,,
10,Kakinada,91,93,,,,,,
11,Konaseema,0,0,,,,,,
12,Krishna,0,5,,,,,,
13,Kurnool,104,47,,,,,,
14,Nandyal,"2,494","1,934",,,,,,
15,NTR,45,18,,,,,,
16,Palnadu,117,159,,,,,,
17,Parvathipuram Manyam,389,653,,,,,,
18,Prakasam,"2,958","2,226",,,,,,
19,Sri Potti Sriramulu Nellore,449,211,,,,,,
20,Sri Sathya Sai,"1,324",704,,,,,,
21,Srikakulam,181,102,,,,,,
22,Tirupati,570,760,,,,,,
23,Visakhapatnam,3,4,,,,,,
24,Vizianagaram,52,44,,,,,,
25,West Godavari,0,0,,,,,,
26,YSR Kadapa,"3,006","1,474",,,,,,
,Total,"19,367","18,174",,,,,,
,Table 10.1.13 Forest Fire Prone Classes,,,,,,,,
Sl. No.,Forest Fire Prone Classes,Forest Cover*,% of Total Forest Cover,,,,,,
1,Extremely fire prone,"1,055.83",2.75,,,,,,
2,Very highly fire prone,"5,935.11",15.44,,,,,,
3,Highly fire prone,"7,360.94",19.15,,,,,,
4,Moderately fire prone,"5,602.78",14.58,,,,,,
5,Less fire prone,"18,481.92",48.08,,,,,,
,Total,"38,436.58",100.00,,,,,,
*Forest Cover including Scrub.,,,,,,,,,
RFA,,,,,,,,,
Sl. No.,Species,No. of Trees (in ‘000),Volume (M m3),,,,,,
1,Anogeissus latifolia/ Terminalia anogeissiana,"69,108",10.53,,,,,,
2,Xylia xylocarpa,"46,383",12.90,,,,,,
3,Chloroxylon swietenia,"41,809",3.87,,,,,,
4,Pterocarpus santalinus,"32,804",2.61,,,,,,
5,Lannea coromandelica,"25,883",4.53,,,,,,
Rural Area,,,,,,,,,
Sl. No.,Species,No. of Trees (in ‘000),Volume (M m3),,,,,,
1,Mangifera indica,"1,16,022",17.110,,,,,,
2,Prosopis juliflora/ Neltuma juliflora,"1,11,773",1.574,,,,,,
3,Azadirachta indica,"43,488",4.865,,,,,,
4,Borassus flabellifer/ Borassus flabelliformis,"26,710",9.195,,,,,,
5,Cocos nucifera,"25,116",5.019,,,,,,
Urban Area,,,,,,,,,
Sl. No.,Species,No. of Trees (in ‘000),Volume (M m3),,,,,,
1,Azadirachta indica,"1,542",0.461,,,,,,
2,Cocos nucifera,"1,207",0.303,,,,,,
3,Prosopis juliflora/ Neltuma juliflora,"1,082",0.041,,,,,,
4,Psidium guajava,990,0.031,,,,,,
5,Pongamia pinnata/ Pongamia glabra,968,0.209,,,,,,
Andhra Pradesh,,,,,,,,,
Sl. No.,,Species,Estimated Extent (km2),,,,,,
1,Lantana camara,,"1,055.77",,,,,,
2,Chromolaena odorata,,866.67,,,,,,
3,Ageratum conyzoides,,261.17,,,,,,
4,Achyranthes aspera,,102.87,,,,,,
5,"T
r
i
umfetta rhomboidea",,86.24,,,,,,
Photo: FSI Repository,,,,,,,,,
Geographical Area,,,,,,,,,
"83,743 km2",,,,,,,,,
Geographical Coordinates,,,,,,,,,
Latitude 26◦28’ N to 29◦30’ N,,,,,,,,,
Longitude 91◦30’ E to 97◦30’ E,,,,,,,,,
Population (as per Census 2011),,,,,,,,,
1.38 million,,,,,,,,,
Urban 0.32 million (22.94 %),,,,,,,,,
Rural 1.06 million (77.06 %),,,,,,,,,
Tribal 0.95 million (68.79 %),,,,,,,,,
Average Population Density,,,,,,,,,
17 per km2,,,,,,,,,
Livestock Population,,,,,,,,,
(as per 19th Livestock Census),,,,,,,,,
1.41 million,,,,,,,,,
No. of Districts,,,,,,,,,
25,,,,,,,,,
No. of Hill Districts,,,,,,,,,
25,,,,,,,,,
No. of Tribal Districts,,,,,,,,,
25,,,,,,,,,
Table 10.2.1 Land Use Pattern,,,,,,,,,
Land Use Types,Area (in ‘000 ha),Percentage,,,,,,,
Geographical Area,"8,374",,,,,,,,
Reporting area for land utilization,"7,153.64",100.00,,,,,,,
Forests,"6,643.10",92.86,,,,,,,
Not available for land cultivation,61.98,0.87,,,,,,,
Permanent pastures and other grazing lands,17.74,0.25,,,,,,,
Land under misc. tree crops and groves,33.75,0.47,,,,,,,
Culturable wasteland,60.88,0.85,,,,,,,
Fallow land other than current fallows,60.65,0.85,,,,,,,
Current fallows,32.94,0.46,,,,,,,
Net area sown,242.60,3.39,,,,,,,
Table 10.2.2 Forest Cover of Arunachal Pradesh,,,,,,,,,
,,(km2),,,,,,,
Class,Area,%  of Calculated Area by SoI,,,,,,,
VDF,"20,985.32",25.06,,,,,,,
MDF,"29,615.09",35.36,,,,,,,
OF,"15,281.16",18.25,,,,,,,
Total,"65,881.57",78.67,,,,,,,
Scrub,"1,058.98",1.26,,,,,,,
,Table 10.2.3 District-wise Forest Cover in Arunachal Pradesh,,,,,,,,
,,,,,,,,(km2),
,,,2023 Assessment,,,,Change,,
,,,,,,%  of Cal-,,,
,,,,,,,w.r.t.,,
,Calculated,Very,Mod.,,,culated,,,
District,,,,Open,,,2021,Scrub,
,Area by SoI,Dense,Dense,,Total,Area by,,,
,,,,Forest,,,Raster,,
,,Forest,Forest,,,SoI,,,
,,,,,,,based*,,
AnjawH,"6,175.48","1,221.83","2,092.55",923.05,"4,237.43",68.62,-8.00,74.65,
ChanglangH,"5,247.74","2,001.01","1,488.32",944.54,"4,433.87",84.49,50.16,16.45,
Dibang ValleyH,"9,706.04","1,127.79","3,405.24","1,922.05","6,455.08",66.51,-7.44,70.68,
East KamengH,"4,420.73","1,347.87","1,598.42",867.95,"3,814.24",86.28,-29.33,75.63,
**East SiangH &,,,,,,,,,
,"4,857.31","1,212.11","1,942.18","1,034.86","4,189.15",86.24,-1.75,54.48,
SiangH,,,,,,,,,
KamleH,"1,339.33",415.77,536.95,364.88,"1,317.60",98.38,-5.63,1.00,
Kra DaadiH,"2,394.28",602.37,822.66,241.14,"1,666.17",69.59,-4.27,11.71,
Kurung KumeyH,"4,580.70","1,363.71","1,650.30",534.61,"3,548.62",77.47,-21.70,52.18,
