state_code,state_name_english,state_census2011_code,district_code,district_name_english,district_census2011_code
33,Tamil Nadu,33,634,Tiruppur,633
33,Tamil Nadu,33,593,Tiruvannamalai,606
8,Rajasthan,08,117,Udaipur,130
18,Assam,18,617,Udalguri,326
12,Arunachal Pradesh,12,240,Upper Siang,252
29,Karnataka,29,550,Uttara Kannada,563
5,Uttarakhand,05,57,Uttar Kashi,056
36,Telangana,00,522,Warangal,540
32,Kerala,32,567,Wayanad,590
17,Meghalaya,17,278,West Garo Hills,293
17,Meghalaya,17,275,West Jaintia Hills,299
12,Arunachal Pradesh,12,243,West Siang,250
20,Jharkhand,20,343,West Singhbhum,368
36,Telangana,00,697,Yadadri Bhuvanagiri,000
29,Karnataka,29,635,Yadgir,580
34,Puducherry,34,601,Yanam,634
13,Nagaland,13,251,Zunheboto,263
