LGD_Code,DistrictName,StateName,Population,MORTH_City_Name
30,Fatehgarh Sahib,Punjab,600163.0,
354,Ganjam,Odisha,3529031.0,
144,Gautam Buddha Nagar,Uttar Pradesh,1648115.0,
146,Ghazipur,Uttar Pradesh,3620268.0,
330,Godda,Jharkhand,1313551.0,
62,Gurugram,Haryana,,
661,Hapur,Uttar Pradesh,,
163,Hathras,Uttar Pradesh,,
540,Haveri,Karnataka,1597668.0,
63,Hisar,Haryana,1743931.0,
726,Hnahthial,Mizoram,,
507,Hyderabad,Telangana,,Hyderabad
151,Jalaun,Uttar Pradesh,1689974.0,
479,Jalna,Maharashtra,1959046.0,
447,Jamnagar,Gujarat,2160119.0,
380,Jashpur,Chhattisgarh,851669.0,
412,Jhabua,Madhya Pradesh,1025048.0,
65,Jind,Haryana,1334152.0,
713,Jiribam,Manipur,,
107,Jodhpur,Rajasthan,3687165.0,Jodhpur
778,Jodhpur (Gramin),Rajasthan,,
290,Jorhat,Assam,1092256.0,
449,Kachchh,Gujarat,2092371.0,
746,Kakinada,Andhra Pradesh,,
358,Kalahandi,Odisha,1576869.0,
729,Kallakurichi,Tamil Nadu,,
685,Kamareddy,Telangana,,
618,Kamrup Metro,Assam,,
557,Kannur,Kerala,2523003.0,Kannur
157,Kanpur Nagar,Uttar Pradesh,4581268.0,Kanpur
35,Kapurthala,Punjab,815168.0,
6,Kargil,Ladakh,,
576,Karur,Tamil Nadu,1064493.0,
7,Kathua,Jammu And Kashmir,,
770,Khairthal-Tijara,Rajasthan,,
405,Khandwa (East Nimar),Madhya Pradesh,1310061.0,
542,Kolar,Karnataka,1536401.0,
699,Kumuram Bheem Asifabad,Telangana,,
264,Lawngtlai,Mizoram,117894.0,
336,Lohardaga,Jharkhand,461790.0,
235,Lower Dibang Valley,Arunachal Pradesh,54080.0,
719,Lower Siang,Arunachal Pradesh,,
165,Mahoba,Uttar Pradesh,875958.0,
415,Mandla,Madhya Pradesh,1054905.0,
735,Mayiladuthurai,Tamil Nadu,,
513,Medak,Telangana,,
170,Mirzapur,Uttar Pradesh,2496970.0,
246,Mokokchung,Nagaland,194622.0,
171,Moradabad,Uttar Pradesh,4772006.0,
673,Morbi,Gujarat,,
482,Mumbai,Maharashtra,3085411.0,Greater Mumbai
483,Mumbai Suburban,Maharashtra,9356962.0,
694,Nagarkurnool,Telangana,,
209,Nalanda,Bihar,2877653.0,
514,Nalgonda,Telangana,,
210,Nawada,Bihar,2219146.0,
80,North,Delhi,,
82,North West,Delhi,,
237,Papum Pare,Arunachal Pradesh,176573.0,
564,Pathanamthitta,Kerala,1197412.0,
456,Porbandar,Gujarat,585449.0,
120,Prayagraj,Uttar Pradesh,,Prayagraj
175,Rae Bareli,Uttar Pradesh,3405559.0,
546,Raichur,Karnataka,1928812.0,
683,Rajanna Sircilla,Telangana,,
621,Ramban,Jammu And Kashmir,,
423,Ratlam,Madhya Pradesh,1455069.0,
72,Rewari,Haryana,900332.0,
276,Ri Bhoi,Meghalaya,,
73,Rohtak,Haryana,1061204.0,
624,Samba,Jammu And Kashmir,,
371,Sambalpur,Odisha,1041099.0,
493,Sangli,Maharashtra,2822143.0,
427,Sehore,Madhya Pradesh,1311332.0,
257,Senapati,Manipur,479148.0,
780,Shahpura,Rajasthan,,
219,Sheikhpura,Bihar,636342.0,
679,Siang,Arunachal Pradesh,,
692,Siddipet,Telangana,,
24,Sirmaur,Himachal Pradesh,529855.0,
300,Sivasagar,Assam,1151050.0,
301,Sonitpur,Assam,1924110.0,
271,South Tripura,Tripura,876001.0,
185,Sultanpur,Uttar Pradesh,3797117.0,
373,Sundargarh,Odisha,2093437.0,
459,Surat,Gujarat,6081322.0,Surat
460,Surendranagar,Gujarat,1756268.0,
594,Thoothukkudi,Tamil Nadu,1750176.0,
566,Thrissur,Kerala,3121200.0,Thrissur
752,Tirupati,Andhra Pradesh,,
249,Tuensang,Nagaland,196596.0,
56,Udam Singh Nagar,Uttarakhand,,
14,Udhampur,Jammu And Kashmir,,
435,Ujjain,Madhya Pradesh,1986864.0,
186,Unnao,Uttar Pradesh,3108367.0,
311,Uttar Dinajpur,West Bengal,3007134.0,
595,Vellore,Tamil Nadu,3936331.0,
693,Wanaparthy,Telangana,,
523,West Godavari,Andhra Pradesh,3936966.0,
242,West Kameng,Arunachal Pradesh,83947.0,
76,Yamunanagar,Haryana,1214205.0,
500,Yavatmal,Maharashtra,2772348.0,
466,Ahmednagar,Maharashtra,,
745,Alluri Sitharama Raju,Andhra Pradesh,,
154,Amroha,Uttar Pradesh,,
744,Anakapalli,Andhra Pradesh,,
628,Anjaw,Arunachal Pradesh,21167.0,
776,Anupgarh,Rajasthan,,
122,Auraiya,Uttar Pradesh,1379545.0,
140,Ayodhya,Uttar Pradesh,,
739,Bajali,Assam,,
345,Balangir,Odisha,1648997.0,
129,Bara Banki,Uttar Pradesh,3260699.0,
690,Bhadradri Kothagudem,Telangana,,
91,Bharatpur,Rajasthan,2548462.0,
193,Bhojpur,Bihar,2728407.0,
93,Bikaner,Rajasthan,2363937.0,
307,Birbhum,West Bengal,3502404.0,
701,Charki Dadri,Haryana,,
630,Chikkaballapura,Karnataka,1255104.0,
503,Chittoor,Andhra Pradesh,4174064.0,
376,Dakshin Bastar Dantewada,Chhattisgarh,533638.0,
283,Darrang,Assam,928500.0,
49,Dehradun,Uttarakhand,1696694.0,
351,Deogarh,Odisha,,
284,Dhemaji,Assam,686133.0,
285,Dhubri,Assam,1949258.0,
230,Dibang Valley,Arunachal Pradesh,8004.0,
768,Didwana-Kuchaman,Rajasthan,,
244,Dimapur,Nagaland,378811.0,
572,Dindigul,Tamil Nadu,2159775.0,
464,Diu,The Dadra And Nagar Haveli And Daman And Diu,,
4,Doda,Jammu And Kashmir,,
99,Dungarpur,Rajasthan,1388552.0,
232,East Siang,Arunachal Pradesh,99214.0,
555,Ernakulam,Kerala,3282388.0,Kochi
138,Etah,Uttar Pradesh,1774480.0,
141,Farrukhabad,Uttar Pradesh,1885204.0,
61,Fatehabad,Haryana,942011.0,
142,Fatehpur,Uttar Pradesh,2632733.0,
537,Gadag,Karnataka,1064570.0,
771,Gangapurcity,Rajasthan,,
225,Gangtok,Sikkim,,
145,Ghaziabad,Uttar Pradesh,4681645.0,Ghaziabad
147,Gonda,Uttar Pradesh,3433919.0,
197,Gopalganj,Bihar,2562012.0,
32,Gurdaspur,Punjab,2298323.0,
407,Gwalior,Madhya Pradesh,2032036.0,Gwalior
289,Hailakandi,Assam,659296.0,
101,Hanumangarh,Rajasthan,1774692.0,
150,Hardoi,Uttar Pradesh,4092845.0,
332,Hazaribagh,Jharkhand,1734495.0,
477,Hingoli,Maharashtra,1177345.0,
681,Jagitial,Telangana,,
356,Jajapur,Odisha,1827192.0,
333,Jamtara,Jharkhand,791042.0,
198,Jamui,Bihar,1760405.0,
379,Janjgir-Champa,Chhattisgarh,,
199,Jehanabad,Bihar,1125313.0,
703,Jhargram,West Bengal,,
200,Kaimur (Bhabua),Bihar,1626384.0,
574,Kancheepuram,Tamil Nadu,3998252.0,
359,Kandhamal,Odisha,733110.0,
18,Kangra,Himachal Pradesh,1510075.0,
155,Kannauj,Uttar Pradesh,1656616.0,
67,Karnal,Haryana,1505324.0,
633,Kasganj,Uttar Pradesh,,
413,Katni,Madhya Pradesh,1292042.0,
202,Khagaria,Bihar,1666886.0,
19,Kinnaur,Himachal Pradesh,84121.0,
614,Kiphire,Nagaland,74004.0,
203,Kishanganj,Bihar,1690400.0,
334,Koderma,Jharkhand,,
543,Koppal,Karnataka,1389920.0,
782,Kotputli-Behror,Rajasthan,,
560,Kottayam,Kerala,1974551.0,
561,Kozhikode,Kerala,3086293.0,Kozhikoda
510,Krishna,Andhra Pradesh,4517398.0,Vijayawada
622,Kulgam,Jammu And Kashmir,,
8,Kupwara,Jammu And Kashmir,,
511,Kurnool,Andhra Pradesh,4053463.0,
204,Lakhisarai,Bihar,1000912.0,
481,Latur,Maharashtra,2454196.0,
265,Lunglei,Mizoram,161428.0,
688,Mahabubabad,Telangana,,
451,Mahesana,Gujarat,2035064.0,
164,Mahrajganj,Uttar Pradesh,2684703.0,
266,Mamit,Mizoram,86364.0,
22,Mandi,Himachal Pradesh,999777.0,
760,Manendragarh-Chirmiri-Bharatpur(M C B),Chhattisgarh,,
365,Mayurbhanj,Odisha,2519738.0,
700,Medchal Malkajgiri,Telangana,,
417,Morena,Madhya Pradesh,1965970.0,
319,Murshidabad,West Bengal,7103807.0,
366,Nabarangpur,Odisha,,
320,Nadia,West Bengal,5167600.0,
485,Nanded,Maharashtra,3361292.0,
486,Nandurbar,Maharashtra,1648295.0,
721,Narayanpet,Telangana,,
418,Narsimhapur,Madhya Pradesh,1091854.0,
419,Neemuch,Madhya Pradesh,826067.0,
603,Nicobars,Andaman And Nicobar Islands,,
680,Nirmal,Telangana,,
722,Niwari,Madhya Pradesh,,
516,Nizamabad,Telangana,,
736,Noklak,Nagaland,,
551,North Goa,Goa,818008.0,
723,Pakke Kessang,Arunachal Pradesh,,
337,Pakur,Jharkhand,900422.0,
785,Pandhurna,Madhya Pradesh,,
489,Parbhani,Maharashtra,1836086.0,
704,Paschim Bardhaman,West Bengal,,
318,Paschim Medinipur,West Bengal,5913457.0,
41,Patiala,Punjab,1895686.0,
212,Patna,Bihar,5838465.0,Patna
682,Peddapalli,Telangana,,
10,Poonch,Jammu And Kashmir,,
174,Pratapgarh,Uttar Pradesh,3209141.0,
600,Puducherry,Puducherry,950289.0,
11,Pulwama,Jammu And Kashmir,,
490,Pune,Maharashtra,9429408.0,Pune
491,Raigad,Maharashtra,,
386,Raigarh,Chhattisgarh,1493984.0,
387,Raipur,Chhattisgarh,4063872.0,Raipur
422,Rajgarh,Madhya Pradesh,1545814.0,
12,Rajouri,Jammu And Kashmir,,
54,Rudra Prayag,Uttarakhand,,
458,Sabar Kantha,Gujarat,2428589.0,
177,Saharanpur,Uttar Pradesh,3466382.0,
727,Saitual,Mizoram,,
584,Salem,Tamil Nadu,3482056.0,Salem
777,Salumbar,Rajasthan,,
659,Sambhal,Uttar Pradesh,,
691,Sangareddy,Telangana,,
218,Saran,Bihar,3951862.0,
763,Sarangarh-Bilaigarh,Chhattisgarh,,
426,Satna,Madhya Pradesh,2228935.0,
671,Shahdara,Delhi,,
765,Shamator,Nagaland,,
660,Shamli,Uttar Pradesh,,
23,Shimla,Himachal Pradesh,814010.0,
547,Shivamogga,Karnataka,,
725,Shi Yomi,Arunachal Pradesh,,
267,Siaha,Mizoram,,
221,Sitamarhi,Bihar,3423574.0,
75,Sonipat,Haryana,1450001.0,
602,South Andamans,Andaman And Nicobar Islands,,
277,South Garo Hills,Meghalaya,142334.0,
658,South West Khasi Hills,Meghalaya,,
39,Sri Muktsar Sahib,Punjab,,
13,Srinagar,Jammu And Kashmir,,Srinagar
515,Sri Potti Sriramulu Nellore,Andhra Pradesh,2963557.0,
754,Sri Sathya Sai,Andhra Pradesh,,
641,Tapi,Gujarat,807022.0,
589,Thiruvallur,Tamil Nadu,3728104.0,
259,Thoubal,Manipur,422168.0,
592,Tirunelveli,Tamil Nadu,3077233.0,
757,Tseminyu,Nagaland,,
548,Tumakuru,Karnataka,,
436,Umaria,Madhya Pradesh,644758.0,
461,Vadodara,Gujarat,4165626.0,Vadodara
224,Vaishali,Bihar,3495021.0,
462,Valsad,Gujarat,1705678.0,
596,Viluppuram,Tamil Nadu,3458873.0,
520,Visakhapatnam,Andhra Pradesh,4290589.0,Visakhapatnam
521,Vizianagaram,Andhra Pradesh,2344474.0,
85,West,Delhi,,
440,Anand,Gujarat,2092745.0,
502,Ananthapuramu,Andhra Pradesh,,
344,Anugul,Odisha,1273821.0,
390,Anuppur,Madhya Pradesh,749237.0,
188,Araria,Bihar,2811569.0,
610,Ariyalur,Tamil Nadu,754894.0,
391,Ashoknagar,Madhya Pradesh,845071.0,
124,Baghpat,Uttar Pradesh,1303048.0,
392,Balaghat,Madhya Pradesh,1701698.0,
775,Balotra,Rajasthan,,
441,Banas Kantha,Gujarat,3120506.0,
88,Banswara,Rajasthan,1797485.0,
89,Baran,Rajasthan,1222755.0,
347,Bargarh,Odisha,1481255.0,
131,Basti,Uttar Pradesh,2464464.0,
774,Beawar,Rajasthan,,
526,Bengaluru Rural,Karnataka,,
442,Bharuch,Gujarat,1551019.0,
396,Bhopal,Madhya Pradesh,2371061.0,Bhopal
349,Boudh,Odisha,,
472,Buldhana,Maharashtra,,
397,Burhanpur,Madhya Pradesh,757847.0,
229,Changlang,Arunachal Pradesh,148226.0,
323,Chatra,Jharkhand,1042886.0,
532,Chikkamagaluru,Karnataka,,
533,Chitradurga,Karnataka,1659456.0,
95,Chittorgarh,Rajasthan,,
758,Chumoukedima,Nagaland,,
96,Churu,Rajasthan,2039547.0,
308,Cooch Behar,West Bengal,,
465,Dadra And Nagar Haveli,The Dadra And Nagar Haveli And Daman And Diu,,
324,Deoghar,Jharkhand,1492073.0,
674,Devbhumi Dwarka,Gujarat,,
377,Dhamtari,Chhattisgarh,799781.0,
299,Dima Hasao,Assam,214102.0,
326,Dumka,Jharkhand,1321442.0,
78,East,Delhi,,
740,Eastern West Khasi Hills,Meghalaya,,
505,East Godavari,Andhra Pradesh,5154296.0,
274,East Khasi Hills,Meghalaya,825922.0,
327,East Singhbum,Jharkhand,,
475,Gadchiroli,Maharashtra,1072942.0,
353,Gajapati,Odisha,577817.0,
626,Ganderbal,Jammu And Kashmir,,
734,Gaurela-Pendra-Marwahi,Chhattisgarh,,
329,Giridih,Jharkhand,2445474.0,
675,Gir Somnath,Gujarat,,
287,Goalpara,Assam,1008183.0,
476,Gondia,Maharashtra,,
506,Guntur,Andhra Pradesh,4887813.0,
709,Hojai,Assam,,
312,Hooghly,West Bengal,,
33,Hoshiarpur,Punjab,1586625.0,
313,Howrah,West Bengal,,
256,Imphal West,Manipur,517992.0,
411,Jabalpur,Madhya Pradesh,2463289.0,Jabalpur
34,Jalandhar,Punjab,2193590.0,
478,Jalgaon,Maharashtra,4229917.0,
5,Jammu,Jammu And Kashmir,,
106,Jhunjhunu,Rajasthan,,
695,Jogulamba Gadwal,Telangana,,
711,Kakching,Manipur,,
538,Kalaburagi,Karnataka,,
717,Kamjong,Manipur,,
291,Kamrup,Assam,1517542.0,
712,Kangpokpi,Manipur,,
292,Karbi Anglong,Assam,956313.0,
558,Kasaragod,Kerala,1307375.0,
509,Khammam,Telangana,,
728,Khawzawl,Mizoram,,
362,Khordha,Odisha,2251673.0,
541,Kodagu,Karnataka,554519.0,
363,Koraput,Odisha,1379647.0,
383,Korba,Chhattisgarh,1206640.0,
384,Korea,Chhattisgarh,,
677,Kra Daadi,Arunachal Pradesh,,
577,Krishnagiri,Tamil Nadu,1879809.0,
68,Kurukshetra,Haryana,964655.0,
21,Lahaul And Spiti,Himachal Pradesh,,
295,Lakhimpur,Assam,1042137.0,
724,Leparada,Arunachal Pradesh,,
666,Longding,Arunachal Pradesh,,
236,Lower Subansiri,Arunachal Pradesh,83030.0,
36,Ludhiana,Punjab,3498739.0,
512,Mahabubnagar,Telangana,,
385,Mahasamund,Chhattisgarh,1032754.0,
599,Mahe,Puducherry,41816.0,
416,Mandsaur,Madhya Pradesh,1340411.0,
544,Mandya,Karnataka,1805769.0,
766,MAUGANJ,Madhya Pradesh,,
761,Mohla-Manpur-Ambagarh Chouki,Chhattisgarh,,
297,Nagaon,Assam,2823768.0,
298,Nalbari,Assam,771639.0,
580,Namakkal,Tamil Nadu,1726601.0,
678,Namsai,Arunachal Pradesh,,
755,Nandyal,Andhra Pradesh,,
773,Neem Ka Thana,Rajasthan,,
79,New Delhi,Delhi,,Delhi
368,Nuapada,Odisha,610382.0,
454,Panch Mahals,Gujarat,2390776.0,
211,Pashchim Champaran,Bihar,3935042.0,
455,Patan,Gujarat,1343734.0,
581,Perambalur,Tamil Nadu,565223.0,
613,Peren,Nagaland,95219.0,
248,Phek,Nagaland,163418.0,
715,Pherzawl,Manipur,,
517,Prakasam,Andhra Pradesh,3397448.0,
629,Pratapgarh,Rajasthan,867848.0,
582,Pudukkottai,Tamil Nadu,1618345.0,
317,Purba Medinipur,West Bengal,5095875.0,
214,Purnia,Bihar,3264619.0,
321,Purulia,West Bengal,,
388,Rajnandgaon,Chhattisgarh,1537133.0,
112,Rajsamand,Rajasthan,1156597.0,
583,Ramanathapuram,Tamil Nadu,1353445.0,
339,Ranchi,Jharkhand,2914253.0,Ranchi
492,Ratnagiri,Maharashtra,1615069.0,
370,Rayagada,Odisha,967911.0,
216,Saharsa,Bihar,1900661.0,
340,Sahebganj,Jharkhand,,
762,Sakti,Chhattisgarh,,
178,Sant Kabir Nagar,Uttar Pradesh,1715183.0,
341,Saraikela Kharsawan,Jharkhand,,
113,Sawai Madhopur,Rajasthan,1335551.0,
653,Sepahijala,Tripura,,
268,Serchhip,Mizoram,64937.0,
429,Shahdol,Madhya Pradesh,1066063.0,
220,Sheohar,Bihar,656246.0,
181,Shrawasti,Uttar Pradesh,1117361.0,
342,Simdega,Jharkhand,599578.0,
222,Siwan,Bihar,3330464.0,
25,Solan,Himachal Pradesh,580320.0,
670,South East,Delhi,,
84,South West,Delhi,,
648,Surajpur,Chhattisgarh,,
389,Surguja,Chhattisgarh,2359886.0,
258,Tamenglong,Manipur,140651.0,
609,Tarn Taran,Punjab,1119627.0,
238,Tawang,Arunachal Pradesh,49977.0,
733,Tenkasi,Tamil Nadu,,
586,Thanjavur,Tamil Nadu,2405890.0,
587,The Nilgiris,Tamil Nadu,735394.0,
302,Tinsukia,Assam,1327929.0,
239,Tirap,Arunachal Pradesh,111975.0,
732,Tirupathur,Tamil Nadu,,
116,Tonk,Rajasthan,1421326.0,
549,Udupi,Karnataka,1177361.0,
260,Ukhrul,Manipur,183998.0,
26,Una,Himachal Pradesh,521173.0,
381,Uttar Bastar Kanker,Chhattisgarh,748941.0,
437,Vidisha,Madhya Pradesh,1458875.0,
738,Vijayanagar,Karnataka,,
530,Vijayapura,Karnataka,,
698,Vikarabad,Telangana,,
499,Washim,Maharashtra,1197160.0,
710,West Karbi Anglong,Assam,,
250,Wokha,Nagaland,166343.0,
501,Adilabad,Telangana,,
438,Ahmedabad,Gujarat,,Ahmedabad
261,Aizawl,Mizoram,400309.0,
467,Akola,Maharashtra,1813906.0,
119,Aligarh,Uttar Pradesh,3673889.0,
639,Alirajpur,Madhya Pradesh,728999.0,
87,Alwar,Rajasthan,3674179.0,
640,Amethi,Uttar Pradesh,,
123,Azamgarh,Uttar Pradesh,4613913.0,
524,Bagalkote,Karnataka,,
46,Bageshwar,Uttarakhand,259898.0,
528,Ballari,Karnataka,,
750,Bapatla,Andhra Pradesh,,
90,Barmer,Rajasthan,2603751.0,
605,Barnala,Punjab,595527.0,
280,Barpeta,Assam,1693622.0,
374,Bastar,Chhattisgarh,1413199.0,
394,Betul,Madhya Pradesh,1575362.0,
348,Bhadrak,Odisha,1506337.0,
443,Bhavnagar,Gujarat,2880365.0,
92,Bhilwara,Rajasthan,2408523.0,
59,Bhiwani,Haryana,1634445.0,
529,Bidar,Karnataka,1703300.0,
132,Bijnor,Uttar Pradesh,3682713.0,
15,Bilaspur,Himachal Pradesh,381956.0,
322,Bokaro,Jharkhand,2062330.0,
281,Bongaigaon,Assam,738804.0,
2,Budgam,Jammu And Kashmir,,
194,Buxar,Bihar,1706352.0,
77,Central,Delhi,,
16,Chamba,Himachal Pradesh,519080.0,
262,Champhai,Mizoram,125745.0,
