"OSrXXb","rllt__details","yi40Hd","RDApEe","rllt__details 2","rllt__details 3","rllt__details 4","rllt__details 5","uDyWh","yYlJEf href","BSaJxc","yYlJEf href 2","UbRuwe"
"Enprosyst Solution Pvt. Ltd.","· Manufacturer","4.4","(69)","Pimpri-Chinchwad, Maharashtra","· 097304 08640","⋅ Closes 5:30 am Sat","Open","""Best place to make equipment and projects like food ,Pharma,refinery""","https://www.enprosyst.net/","Website","https://www.google.com/maps/dir//Enprosyst+Solution+Pvt.+Ltd.,+Jyotiba+Nagar,+Talwade,+Pimpri-Chinchwad,+Maharashtra+411062/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc2b7707d9c637f:0xe7660e6cf33b21d5?sa=X&ved=1t:57443&ictx=111","Directions"
"Repute Engineers Pvt Ltd","· Food processing equipment","4.7","(45)","Pune, Maharashtra","· 020 6732 3202","⋅ Opens 9 am Sat","Closed","","http://reputeindia.com/","Website","https://www.google.com/maps/dir//Repute+Engineers+Pvt+Ltd,+12%2F23,+D-1+Block,+MIDC,+Chinchwad,+Pune,+Maharashtra+411019/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc2b82bffffffff:0x9c273153ff839845?sa=X&ved=1t:57443&ictx=111","Directions"
"Autoplant Systems India Pvt. Ltd.","· Software company","4.3","(70)","Navi Mumbai, Maharashtra","· 080997 77755","⋅ 6:30 pm","Closes soon","""Nice company for understanding supply chain and logistics operations.""","http://www.autoplant.in/","Website","https://www.google.com/maps/dir//1604,+16th+floor,+A+block,+Autoplant+Systems+India+Pvt.+Ltd.,+RUPA+SOLITAIRE,+Millenium+Business+Park,+Sector+2,+Kopar+Khairane,+Navi+Mumbai,+Maharashtra+400701/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3be7c0e4edf77843:0x89bb0e93fc811b9f?sa=X&ved=1t:57443&ictx=111","Directions"
"Cotmac Electronics","· Automation company","4.3","(155)","Pimpri-Chinchwad, Maharashtra","· 020 3068 7200","⋅ Opens 9 am Sat","Closed","""and its growing day by day.""","https://cotmac.io/","Website","https://www.google.com/maps/dir//Cotmac+Electronics,+S%2F168,+Indrayani+Nagar+Rd,+MIDC,+Bhosari,+Pimpri-Chinchwad,+Maharashtra+411026/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc2b87a3b8e55c3:0x91639eada6b803b?sa=X&ved=1t:57443&ictx=111","Directions"
"SLB Pune Technology Center (PUTC)","· Software company","4.5","(258)","Pune, Maharashtra","· 020 6744 7400","⋅ Opens 9 am Mon","Closed","""One of the best companies to work with for quality of work and life.""","https://www.slb.com/","Website","https://www.google.com/maps/dir//7th+floor+building+no,+SLB+Pune+Technology+Center+(PUTC),+4,+Jail+Press+Rd,+Yerawada,+Pune,+Maharashtra+411006/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc2c0dea9bcd143:0x418ab08f644f537?sa=X&ved=1t:57443&ictx=111","Directions"
"IndianOil","· Petrol Pump","5.0","(2)","Akhade, Maharashtra","· 090963 05999","⋅ Closes 10 pm","Open","","https://locator.iocl.com/indianoil-mahasai-mata-servo-petroleum-petrol-pump-akhade-dhule-207511/Contact-Us","Website","https://www.google.com/maps/dir//Stone+No+48,+IndianOil,+Ground+Floor+Nandurbar+Road,+Akhade,+Maharashtra+424305/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bdefb24343875f7:0x8235c95cb9dbaaec?sa=X&ved=1t:57443&ictx=111","Directions"
"ACE PNEUMATICS PVT.LTD","· Mining equipment","4.6","(46)","Ahmadnagar, Maharashtra","· 080 4898 5551","⋅ Closes 12 am","Open","","http://www.acepneumatics.com/","Website","https://www.google.com/maps/dir//ACE+PNEUMATICS+PVT.LTD,+PLOT+NO+G-126+Nagapur,+MIDC,+Ahmadnagar,+Maharashtra+414111/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bdcbbd42e2c5909:0x4ea645bf896d49aa?sa=X&ved=1t:57443&ictx=111","Directions"
"SJS Decoplast Pvt. Ltd.","· Auto body parts supplier","4.1","(70)","Karegaon, Ranjangaon, Maharashtra","· 02138 613 300","⋅ Opens 8 am Sat","Closed","","","","https://www.google.com/maps/dir//SJS+Decoplast+Pvt.+Ltd.,+Plot+No.+F-27+C,+MIDC,+Karegaon,+Ranjangaon,+Maharashtra+412220/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc32be28538fe25:0xd58fcb7dbd67f0ef?sa=X&ved=1t:57443&ictx=111","Directions"
"Arya Engineers & Contractors Pvt. Ltd.","· Engineering consultant","4.4","(108)","Pune, Maharashtra","· 020 4142 3101","⋅ Opens 9 am Mon","Closed","""... and Good company
its Developing Detailed Engineering company""","http://aryaengineers.com/","Website","https://www.google.com/maps/dir//S.No.+162,+Arya+Engineers+%26+Contractors+Pvt.+Ltd.,+SR+Chambers,+301,+Third+Floor,+4%2F5,+Nagras+Rd,+Above+Janaseva+Bank,+Aundh,+Pune,+Maharashtra+411067/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc2bfbefaaaaaab:0x912f2bcd60a2f2ee?sa=X&ved=1t:57443&ictx=111","Directions"
"New Indictrans Technologies Pvt. Ltd.","· Software company","4.7","(61)","Pune, Maharashtra","","⋅ Closes 8 pm","Open","","https://www.indictranstech.com/","Website","https://www.google.com/maps/dir//New+Indictrans+Technologies+Pvt.+Ltd.,+Varsha+Park,+D+27,+Baner+Road,+near+Bhairavee+Restaurant,+Gaon,+Baner,+Pune,+Maharashtra+411008/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc2bfca83a10af3:0x2f729feef0c9414a?sa=X&ved=1t:57443&ictx=111","Directions"
"Accurate Powertech India Pvt Ltd","· Supplier","4.7","(164)","Pimpri-Chinchwad, Maharashtra","· 098226 02449","⋅ Opens 9:30 am Sat","Closed","""Best Rental generator services Pan India.""","https://www.accurategensets.com/","Website","https://www.google.com/maps/dir//Accurate+Powertech+India+Pvt+Ltd,+Rohan+Tower,+4,5.6,+Old+Mumbai+-+Pune+Hwy,+opp.+Mega+Mart,+Phugewadi,+Dapodi,+Pimpri-Chinchwad,+Maharashtra+411012/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc2b8a579083e43:0x7cb4a941532aebbf?sa=X&ved=1t:57443&ictx=111","Directions"
"Advanced Bolting Solutions Pvt. Ltd.","· Supplier","4.6","(60)","Navi Mumbai, Maharashtra","· 082828 29795","⋅ 6:30 pm","Closes soon","","https://absgroup.in/","Website","https://www.google.com/maps/dir//Advanced+Bolting+Solutions+Pvt.+Ltd.,+A,+Plot+No+W116,+MIDC+Industrial+Area,+Kopar+Khairane,+Navi+Mumbai,+Maharashtra+400710/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3be7c0e13f10c127:0xfa2009825fe9c1b1?sa=X&ved=1t:57443&ictx=111","Directions"
"eClinicalWorks India Private Limited","· Software company","4.1","(923)","Mumbai, Maharashtra","","","Open 24 hours","""Leading and Growing company with advance knowledge in healthcare IT..""","https://www.eclinicalworks.com/","Website","https://www.google.com/maps/dir//eClinicalWorks+India+Private+Limited,+B+Wing,+7+Boomerang+Building,+Chandivali+Farm+Rd,+Near,+Chandivali,+Andheri+East,+Mumbai,+Maharashtra+400072/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3be7c80c0a3d5977:0xbe1e2162202d9d44?sa=X&ved=1t:57443&ictx=111","Directions"
"Straits Research Pvt Ltd","· Market researcher","3.9","(59)","Pune, Maharashtra","· 080870 85354","⋅ Closes 6 am Sat","Open","""Quality reports and consulting service, helped growing our FMCG business.""","https://straitsresearch.com/","Website","https://www.google.com/maps/dir//Office+515+A,+Straits+Research+Pvt+Ltd,+Amanora+Chambers,+Amanora+Mall,+Magarpatta+Rd,+Hadapsar,+Pune,+Maharashtra+411028/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc2eb3e631519a3:0x6770b9469024c519?sa=X&ved=1t:57443&ictx=111","Directions"
"Acme Process Systems Pvt Ltd.","· Manufacturer","4.8","(33)","Pune, Maharashtra","· 020 6732 3300","⋅ 6:30 pm","Closes soon","""One of best company to design pressure vessel, very friendly environment .""","http://www.acmeprocess.net/","Website","https://www.google.com/maps/dir//Plot+No.+E,+Acme+Process+Systems+Pvt+Ltd.,+6,+opposite+ICMR+%E2%80%93+National+Institute+of+Translational+Virology+and+AIDS+Research,+General+Block,+MIDC,+Bhosari,+Pune,+Maharashtra+411026/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc2c78a701d0195:0x44d14a382880cd42?sa=X&ved=1t:57443&ictx=111","Directions"
"Testo India Private Limited","· Manufacturer","3.9","(14)","Pune, Maharashtra","· 020 2592 0000","⋅ Opens 9 am Mon","Closed","","https://www.testo.com/en-IN/","Website","https://www.google.com/maps/dir//Plot+No.+23,+Testo+India+Private+Limited,+23,+Baner+Rd,+Sadhu+Vasvani+Nagar,+Aundh,+Pune,+Maharashtra+411007/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc2bf6056211847:0xd5a475ed8ec2e089?sa=X&ved=1t:57443&ictx=111","Directions"
"Skybiotech Life Sciences Pvt. Ltd.","· Pharmaceutical company","3.7","(21)","Chhatrapati Sambhajinagar, Maharashtra","· 0240 269 4466","⋅ Opens 9 am Sat","Closed","","https://www.skybiotech.net/","Website","https://www.google.com/maps/dir//Skybiotech+Life+Sciences+Pvt.+Ltd.,+Gut+No.+5,+Georai+Tanda,+Paithan+Road,+Chhatrapati+Sambhajinagar,+Maharashtra+431002/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bdb9edfa78775b7:0xf26453f92cbc7af1?sa=X&ved=1t:57443&ictx=111","Directions"
"Kytes","· Software company","4.1","(62)","Pune, Maharashtra","· 076209 00522","⋅ Closes 8 pm","Open","""Best in class Project and Resource management solution.""","https://www.kytes.com/contact-page/","Website","https://www.google.com/maps/dir//2nd+floor,+Kytes,+Timeless+Building,+2091B%2F1A,+opp.+Symphony+Resto+Bar,+Ashok+Nagar,+Pune,+Maharashtra+411020/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc2c083aaaaaaab:0xd705a13b33018ed3?sa=X&ved=1t:57443&ictx=111","Directions"
"Tridev Resins (India) Private Limited","· Supplier","4.3","(4)","Vapi, Gujarat","· 099799 36256","⋅ Opens 9 am Sat","Closed","","https://www.tridevresins.com/","Website","https://www.google.com/maps/dir//2nd+Phase,+Tridev+Resins+(India)+Private+Limited,+Plot+no.+136%2FE-1,+GIDC,+Vapi,+Gujarat+396195/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3be0ce47e7ebffef:0xe8b6d3c26d99659d?sa=X&ved=1t:57443&ictx=111","Directions"
"Amusavi MTC Private Limited","· Chemical plant","","","Pune, Maharashtra","· 080 4764 5095","⋅ 7 pm","Closes soon","","https://www.amusavimtc.com/","Website","https://www.google.com/maps/dir//S.+No.+58,+Amusavi+MTC+Private+Limited,+plot+no+92+A,+Chovisawadi,+Charholi+Budruk,+Pune,+Maharashtra+412105/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc2c73c8f91a317:0xf20cedd486f5b74f?sa=X&ved=1t:57443&ictx=111","Directions"
"Travitons Technologies Pvt. Ltd.","· Software company","5.0","(12)","Pune, Maharashtra","· 087675 91548","⋅ Opens 10 am Mon","Closed","","http://travitons.com/","Website","https://www.google.com/maps/dir//Travitons+Technologies+Pvt.+Ltd.,+Primrose+Society,+RH-4,+behind+Prime+Rose+Mall+Lane,+Pune,+Maharashtra+411069/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc2bf5e4cad043d:0x38b6325b2f4b6f56?sa=X&ved=1t:57443&ictx=111","Directions"
"Triumph Systems and Solutions Private Limited","· Software company","3.3","(61)","Mumbai, Maharashtra","","⋅ 6:30 pm","Closes soon","","http://www.triumphsys.com/","Website","https://www.google.com/maps/dir//9th+Floor,+Triumph+Systems+and+Solutions+Private+Limited,+Crescent,+907+%26+908,+off+Andheri+Kurla+Road,+opp.+Hotel+The+Leela,+Andheri+East,+Mumbai,+Maharashtra+400059/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3be7c86ac15f58e7:0x53373447cefa018f?sa=X&ved=1t:57443&ictx=111","Directions"
"PlaceWell industrial services pvt ltd","· Employment center","4.3","(49)","Pune, Maharashtra","· 020 2712 5219","⋅ Opens 9:30 am Sat","Closed","","https://placewellservices.com/","Website","https://www.google.com/maps/dir//4th+floor,+PlaceWell+industrial+services+pvt+ltd,+Sagar+Corner,+14+abc,+nashik+phata,+near+Rajdhani+Motors,+Kasarwadi,+Pune,+Maharashtra+411034/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc2b8918aab4d4d:0xd007bd9d6fc4ad14?sa=X&ved=1t:57443&ictx=111","Directions"
"VGeotech Experts Pvt Ltd ( Top Soil & Geotechnical NABL lab and Consultant )","· Geotechnical Engineer","4.9","(352)","Chhatrapati Sambhajinagar, Maharashtra","· 074209 93590","","Open 24 hours","","http://www.vgeotechexperts.com/","Website","https://www.google.com/maps/dir//VGeotech+Experts+Pvt+Ltd+(+Top+Soil+%26+Geotechnical+NABL+lab+and+Consultant+),+Plot+No.+47,+VGeotech+Experts,+Mayur+Park,+Harsul,+Chhatrapati+Sambhajinagar,+Maharashtra+431008/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bdbbdfd781b1259:0xf6b6eee83667a27?sa=X&ved=1t:57443&ictx=111","Directions"
"Kumars Forge & Valve","· Petroleum Products Company","3.7","(13)","Pune, Maharashtra","· 096898 91950","⋅ Opens 9 am Sat","Closed","","http://kumarsglobal.com/","Website","https://www.google.com/maps/dir//Kumars+Forge+%26+Valve,+Gat+no+54%2F6,+Biradwadi,+Ambethan+Road,,+Pune,+Maharashtra+410501/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc2b5f627abe07b:0x6981eff2b4d43818?sa=X&ved=1t:57443&ictx=111","Directions"
"h2e Power System Inc.","· Green energy supplier","4.8","(8)","Pune, Maharashtra","· 020 2605 7576","⋅ Opens 8 am Sat","Closed","","http://www.h2epower.net/","Website","https://www.google.com/maps/dir//GVJ6%2B5M5+h2e+Power+System+Inc.,+Sangamvadi,+Pune,+Maharashtra+411001/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc2c08a778ea657:0xf13600065edc86a4?sa=X&ved=1t:57443&ictx=111","Directions"
"PARASCADD Private Limited","· Software company","2.6","(135)","Mumbai, Maharashtra","· 088792 31111","⋅ 6:30 pm","Closes soon","","https://www.parascadd.com/","Website","https://www.google.com/maps/dir//PARASCADD+Private+Limited,+Helix+3,+402,+Lal+Bahadur+Shastri+Marg,+Ghatkopar+West,+Mumbai,+Maharashtra+400086/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3be7c7cfaaaaaaab:0xa3dc5a4ea5b329a7?sa=X&ved=1t:57443&ictx=111","Directions"
"eNix Software Pvt. Ltd.","· Software company","4.5","(13)","Navi Mumbai, Maharashtra","091993 02529","","","","https://www.enixsoftwareindia.com/","Website","https://www.google.com/maps/dir//eNix+Software+Pvt.+Ltd.,+Mayuresh+Chambers,+Sector+11,+CBD+Belapur,+Navi+Mumbai,+Maharashtra+400614/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3be7c2532fffffff:0x7608ccdf22095736?sa=X&ved=1t:57443&ictx=111","Directions"
"Chemex Chemicals - Importers & Suppliers of Chemicals in India","· Supplier","4.4","(7)","Mumbai, Maharashtra","· 083690 45230","","Open 24 hours","","https://www.chemexchemicals.com/","Website","https://www.google.com/maps/dir//1st+Floor,+Chemex+Chemicals+-+Importers+%26+Suppliers+of+Chemicals+in+India,+Udyog+Kshetra,+107,+Mulund+-+Goregaon+Link+Rd,+Mulund+West,+Mumbai,+Maharashtra+400080/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3be7b85c3c271adf:0x283c392eca990db?sa=X&ved=1t:57443&ictx=111","Directions"
"Pushpam Computers & Software Pvt. Ltd.","· Software company","4.4","(107)","Pune, Maharashtra","· 020 6731 1900","⋅ 6:30 pm","Closes soon","""All office needs like all systems""","http://www.pushpamcomputers.in/","Website","https://www.google.com/maps/dir//Pushpam+Computers+%26+Software+Pvt.+Ltd.,+635%2F1-B,+New+Gajara+Co-Op.+Society,+Swami+Vivekanand+Rd,+Bibwewadi,+Pune,+Maharashtra+411037/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc2eabd13233787:0x3d111feb02ea4dcb?sa=X&ved=1t:57443&ictx=111","Directions"
"Vet Biochem India Pvt Ltd","· Animal feed store","4.9","(7)","Pune, Maharashtra","· 080 4860 3639","⋅ 7 pm","Closes soon","","https://www.vetbiochem.in/","Website","https://www.google.com/maps/dir//Vet+Biochem+India+Pvt+Ltd,+Abhijeet+Court,+B+Wing,+2nd+Floor,+Office+No+3,+Bhandarkar+Road,+Pune,+Maharashtra+411004/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc2bf901a6ae385:0xf60bef268534bbc0?sa=X&ved=1t:57443&ictx=111","Directions"
"POONAM INSTRUMENTS PRIVATE LIMITED","· Measuring instruments supplier","5.0","(145)","Wadgaon Kolhati, Chhatrapati Sambhajinagar, Maharashtra","· 081499 22932","⋅ 7 pm","Closes soon","","http://www.poonaminstruments.com/","Website","https://www.google.com/maps/dir//POONAM+INSTRUMENTS+PRIVATE+LIMITED,+Plot+no.536,+Krishna+Marg,+CIDCO+Waluj+Mahanagar+1,+Waluj,+Wadgaon+Kolhati,+Chhatrapati+Sambhajinagar,+Maharashtra+431136/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bdb99219b4355bd:0x5495d12de63b0bea?sa=X&ved=1t:57443&ictx=111","Directions"
"Qualitia Software Pvt. Ltd.","· Software company","4.7","(30)","Pune, Maharashtra","· 020 6727 8200","⋅ Opens 9 am Mon","Closed","","https://www.qualitia.ai/","Website","https://www.google.com/maps/dir//6th+Floor,+Qualitia+Software+Pvt.+Ltd.,+SAI+RADHE+COMPLEX,+Unit+601,+Raja+Bahadur+Motilal+Rd,+behind+Sheraton+Grand+Pune+Bund+Garden+Hotel,+Pune,+Maharashtra+411001/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc2c10d13529369:0x82abf200fbd65fd3?sa=X&ved=1t:57443&ictx=111","Directions"
"Dyna Filters Private Limited","· Air filter supplier","4.1","(21)","Pune, Maharashtra","· 093701 44760","⋅ Opens 9:30 am Sat","Closed","","http://www.dynafilters.com/","Website","https://www.google.com/maps/dir//Dyna+Filters+Private+Limited,+Plot+No.+14,15+and+20,+Ramtekdi+Industrial+Area,+Hadapsar,+Pune,+Maharashtra+411028/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc2c065a7c56561:0xd53e082b1e20b8e1?sa=X&ved=1t:57443&ictx=111","Directions"
"Afcons Infrastructure Limited","· Oil & natural gas company","4.5","(505)","Mumbai, Maharashtra","· 022 6719 1000","⋅ Opens 9 am Mon","Closed","""For which Afcons stays Pioneer in all construction giants in India.""","http://www.afcons.com/","Website","https://www.google.com/maps/dir//Afcons+Infrastructure+Limited,+Afcons+House,+16,+Veera+Desai+Rd,+Azad+Nagar,+Andheri+West,+Mumbai,+Maharashtra+400053/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3be7c7de4aa4bf97:0xaec0bb0f49928e49?sa=X&ved=1t:57443&ictx=111","Directions"
"Bharat Petroleum Corporation ltd","· Petrol Pump","4.0","(726)","Mumbai, Maharashtra","· 022 2412 5752","⋅ Closes 12 am","Open","""It is the cng pump""","https://locator.bharatpetroleum.com/bharat-petroleum-corporation-ltd-uganda-service-station-petrol-pump-wadala-west-mumbai-88339/Home?utm_source=locator&utm_medium=googleplaces","Website","https://www.google.com/maps/dir//Plot+No+44,+Bharat+Petroleum+Corporation+ltd,+R.A.+Kidwai+Marg,+near+Ajhad+Nagar,+Wadala+West,+Wadala,+Mumbai,+Maharashtra+400031/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3be7cf978ebb9301:0xb51c7ba9825d2971?sa=X&ved=1t:57443&ictx=111","Directions"
"Accurate Powertech India Pvt. Ltd.","· Manufacturer","5.0","(3)","Pune, Maharashtra","020 4676 1212","","","","http://www.accurategensets.com/","Website","https://www.google.com/maps/dir//Accurate+Powertech+India+Pvt.+Ltd.,+12,+Rahul+Chamber+,+Mumbai+Pune+Road,+Kasarwadi,+opposite+Forbes+Marshall,+Pune,+Maharashtra+411034/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc2b9b554392741:0xd0150057b7c6867c?sa=X&ved=1t:57443&ictx=111","Directions"
"Adroit Corporate Services Private Ltd","· Software company","3.7","(118)","Mumbai, Maharashtra","· 022 4227 0400","⋅ Closes 7:30 pm","Open","""I working in this organization from 4 year.""","http://www.adroitcorporate.com/","Website","https://www.google.com/maps/dir//Adroit+Corporate+Services+Private+Ltd,+18-20,+Jafferbhoy+Industrial+Estate,+Makwana+Rd,+Marol+Naka,+Andheri+East,+Mumbai,+Maharashtra+400059/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3be7c814bb0a6f3b:0x9e843a8ffc9a81c2?sa=X&ved=1t:57443&ictx=111","Directions"
"Alicon Castalloy Limited","· Manufacturer","3.6","(65)","Shirur, Shikrapur, Maharashtra","· 095035 85665","⋅ Closes 12 am","Open","""One of the best Aluminium Alloy ""","https://www.alicongroup.co.in/","Website","https://www.google.com/maps/dir//Gate+No.+1426,+Alicon+Castalloy+Limited,+Tal,+Shirur,+Shikrapur,+Maharashtra+412208/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc2da0625a8c665:0x50c914f665035600?sa=X&ved=1t:57443&ictx=111","Directions"
"Exporters Worlds - Best B2B portal in kanpur","· Supplier","4.0","(110)","Kanpur, Uttar Pradesh","· 099104 96831","⋅ 7 pm","Closes soon","","https://www.exportersworlds.com/","Website","https://www.google.com/maps/dir//Exporters+Worlds+-+Best+B2B+portal+in+kanpur,+J1%2F104,+near+by+cylinder+Chauraha,+Keshavpuram,+Awas+Vikas+Number+1,+Kalyanpur,+Kanpur,+Uttar+Pradesh+208017/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x399c372abb463709:0x5aba2168817c8ba2?sa=X&ved=1t:57443&ictx=111","Directions"
"BHTC","· Software company","4.6","(125)","Pimpri-Chinchwad, Maharashtra","· 020 6631 5400","⋅ 7 pm","Closes soon","","http://www.bhtc.com/","Website","https://www.google.com/maps/dir//BHTC,+Block+T,+T51-T55,+MIDC,+Bhosari,+Pimpri-Chinchwad,+Maharashtra+411026/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc2b82bffffffff:0x90e68816688bbcb2?sa=X&ved=1t:57443&ictx=111","Directions"
"Tech Development IT Services","· Software company","4.8","(24)","Pune, Maharashtra","· 093595 40107","⋅ Opens 10 am Mon","Closed","","","","https://www.google.com/maps/dir//Tech+Development+IT+Services,+1,+Ground+Floor,+S.No.+16%2F6,+Pinnac+Apartment,+Vakil+Nagar,+Erandwane,+Pune,+Maharashtra+411004/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc2bff23fffffff:0xfb8bceaf773b5e0b?sa=X&ved=1t:57443&ictx=111","Directions"
"Hindustan Petroleum Corporation Limited","· Petrol Pump","4.1","(1.9K)","Mumbai, Maharashtra","· 090219 93569","","Open 24 hours","""Hindustan Petroleum Company's own Petrol pump with their staff.""","https://petrolpump.hpretail.in/hindustan-petroleum-corporation-limited-hp-service-center-bkc-petrol-pump-bandra-east-mumbai-387497/Home?utm_source=locator&utm_medium=googleplaces","Website","https://www.google.com/maps/dir//Hindustan+Petroleum+Corporation+Limited,+near+ICICI+Bank+North+Tower,+Bandra+Kurla+Complex,+Bandra+East,+Mumbai,+Maharashtra+400051/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3be7c8e65e81ade3:0x804c156de35fc9df?sa=X&ved=1t:57443&ictx=111","Directions"
"Montage Chemicals Pvt. Ltd","· Pharmaceutical company","2.0","(2)","Ambernath, Maharashtra","· 022 2173 3182","⋅ Opens 12 am Sat","Closed","","http://www.montagechemicals.com/","Website","https://www.google.com/maps/dir//Montage+Chemicals+Pvt.+Ltd,+W-38,+MIDC,+Morivali,+Ambernath,+Maharashtra+421501/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3be793714b801f39:0xa50e769fd86ddfaf?sa=X&ved=1t:57443&ictx=111","Directions"
"Denso thermal systems pune pvt ltd","· Title company","4.3","(24)","Shikrapur, Maharashtra","· 02137 618 921","⋅ Opens 8:30 am Mon","Closed","""This plant is located in Sanaswadi Pune""","http://www.denso.com/in/en/about-us/company-information/dtpu/","Website","https://www.google.com/maps/dir//Denso+thermal+systems+pune+pvt+ltd,+Gat+no-1228%2F2,+Shikrapur,+Maharashtra+412208/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc2da059332a403:0xa7435c7f02934ef?sa=X&ved=1t:57443&ictx=111","Directions"
"Xytel India | Turnkey Pilot Plants & Mini Plants","· Manufacturer","4.4","(60)","Pune, Maharashtra","· 090960 22433","⋅ Opens 9:30 am Mon","Closed","","http://www.xytelindia.com/","Website","https://www.google.com/maps/dir//Xytel+India+%7C+Turnkey+Pilot+Plants+%26+Mini+Plants,+Xytel+India,+EL-31%2F14,+J+Block,+Sector+10,+MIDC,+Bhosari,+Pune,+Maharashtra+411026/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc2b873a957c781:0x3a8374928df8cb0b?sa=X&ved=1t:57443&ictx=111","Directions"
"Hindustan Petroleum Corporation Limited","· Petrol Pump","4.0","(1K)","Lonavala, Pune, Maharashtra","· 098222 72244","","Open 24 hours","""Excellent service 24 hr permitted company petrol pump.""","https://petrolpump.hpretail.in/hindustan-petroleum-corporation-limited-hp-fuel-centre-petrol-pump-lonavala-pune-97307/Home?utm_source=locator&utm_medium=googleplaces","Website","https://www.google.com/maps/dir//Hindustan+Petroleum+Corporation+Limited,+NH+4,+Old+Mumbai+-+Pune+Hwy,+opposite+Kailash+Parwat+Hotel,+Lonavala,+Pune,+Maharashtra+410401/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3be801065cfc11d1:0xead4acd4cffdb732?sa=X&ved=1t:57443&ictx=111","Directions"
"DECCALEAP TECHNOLOGIES LLP","· Fire protection equipment supplier","4.8","(28)","Pune, Maharashtra","· 020 6704 3838","⋅ Opens 9 am Mon","Closed","""Looking forward to see you Deccaleap Technologies Team & Management again.""","https://deccaleap.com/","Website","https://www.google.com/maps/dir//DECCALEAP+TECHNOLOGIES+LLP,+Deccaleap+House,+S.No.38,+Ahead+of+Westin+Hotel,+next+to+Nanda+Dental+Care,+Koregaon+Park+Annexe,+Ghorpadi,+Pune,+Maharashtra+411036/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc2c1860c357b85:0xedf8d151457935c8?sa=X&ved=1t:57443&ictx=111","Directions"
"Affirm Services","· Employment agency","4.3","(10)","Pune, Maharashtra","· 020 2616 9628","⋅ Opens 9 am Sat","Closed","","","","",""
"Nashik Thermal Power Station (NTPS)","· Power station","4.2","(64)","Nashik, Maharashtra","","","Open 24 hours","""One of the oldest thermal power generation plant in maharashtra.""","","","https://www.google.com/maps/dir//XVJR%2B9RQ+Nashik+Thermal+Power+Station+(NTPS),+NTPS+Colony,+Nashik,+Maharashtra+422105/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bddc08977049c6b:0x721035c80dd0080?sa=X&ved=1t:57443&ictx=111","Directions"
