"result_container--right-title","result_container--right-title href","result_container--right-location","result_container--right-location href","result_container--right-location 2","result_container--right-location 3","result_container--right-location href 2","result_container--right-location 4","result_container--right-contactname","result_container--right-contactno","result_container--right-desc","result_container--right-desc 2","product-margin"
"SCITECH SCIENTIFICS","https://www.indianindustriesdirectory.com/companyinfo/scitech-scientifics-mumbai-18005.html","MUMBAI","https://www.indianindustriesdirectory.com/district/mumbai/chemicals.html","-","400003","https://www.indianindustriesdirectory.com/pincode/mumbai/400003/chemicals.html",",INDIA","Contact Person: MR.HIMANSHU MAVANI - C.E.O.","Tel No. 0 - 9930223110","Authorised Stockist Of Qualigens Range Of Product, Fisher Scientific Part Of Thermo Fisher Scientifi","...More","Send Enquiry"
"MERU CHEM PVT.LTD.","https://www.indianindustriesdirectory.com/companyinfo/meru-chem-pvtltd-mumbai-30809.html","MUMBAI","https://www.indianindustriesdirectory.com/district/mumbai/chemicals.html","-","400080","https://www.indianindustriesdirectory.com/pincode/mumbai/400080/chemicals.html",",INDIA","Contact Person: MR.MANISH SHAH - DIR.","Tel No. 0 - 9820196318","Solvents, Activated Carbons, Chemicals Powder, Minerals, Drugs & Pharmaceuticals, Laboratory Instrum","...More","Send Enquiry"
"MET-CHEM IMPEX INDUSTRIES","https://www.indianindustriesdirectory.com/companyinfo/met-chem-impex-industries-mumbai-15170.html","MUMBAI","https://www.indianindustriesdirectory.com/district/mumbai/chemicals.html","-","400102","https://www.indianindustriesdirectory.com/pincode/mumbai/400102/chemicals.html",",INDIA","Contact Person: MR. VIRAG SHAH - (DIRECTORS)","Tel No. 022 - 26790450","Chemicals All Types.","...More","Send Enquiry"
"ENVITECH CHEMICAL SPECIALITIES PVT.LTD.","https://www.indianindustriesdirectory.com/companyinfo/envitech-chemical-specialities-pvtltd-pune-28709.html","PUNE","https://www.indianindustriesdirectory.com/district/pune/chemicals.html","-","411021","https://www.indianindustriesdirectory.com/pincode/pune/411021/chemicals.html",",INDIA","Contact Person: MS.VARSHA TATKE - M.D.","Tel No.  - 9850893043","Chemicals, Coagulant Chemicals, Flocculents, Colour Removals, Drilling Fluid Polymers,
Profile Modi","...More","Send Enquiry"
"XYDOR SCIENTIFIC PVT.LTD.","https://www.indianindustriesdirectory.com/companyinfo/xydor-scientific-pvtltd-pune-146142.html","PUNE","https://www.indianindustriesdirectory.com/district/pune/chemicals.html","-","411009","https://www.indianindustriesdirectory.com/pincode/pune/411009/chemicals.html",",INDIA","Contact Person: MR.VAIBHAV SHINDE","Tel No.  - 7774004140 / 8830106996","Laboratory Chemicals, Lab Chemical, Consumables And Instruments For Research Food, Pharma, Testing L","...More","Send Enquiry"
"SNEH-DEEP CHEMICALS","https://www.indianindustriesdirectory.com/companyinfo/sneh-deep-chemicals-satara-127579.html","SATARA","https://www.indianindustriesdirectory.com/district/satara/chemicals.html","-","415109","https://www.indianindustriesdirectory.com/pincode/satara/415109/chemicals.html",",INDIA","Contact Person: MR. K.H.CHAVAN / MR.SUMIT CHAVAN","Tel No.  - 9850409309 / 9890458958","Manufacturer, Trader Of Industrial Chemical, Acids, Caustic Soda, Dairy Chemicals, Phenol, Sodium Hy","...More","Send Enquiry"
"POWER ACIDS INDIA LLP","https://www.indianindustriesdirectory.com/companyinfo/power-acids-india-llp-pune-101915.html","PUNE","https://www.indianindustriesdirectory.com/district/pune/chemicals.html","-","411013","https://www.indianindustriesdirectory.com/pincode/pune/411013/chemicals.html",",INDIA","Contact Person: MR. SANDEEP KANKARIYA","Tel No. 20 - 26877977","Manufacture of Chemicals and Chemical Products.","...More","Send Enquiry"
"ADVANCE TEST LABORATORY","https://www.indianindustriesdirectory.com/companyinfo/advance-test-laboratory-navi-mumbai-102784.html","NAVI MUMBAI","https://www.indianindustriesdirectory.com/district/navi%20mumbai/chemicals.html","-","400701","https://www.indianindustriesdirectory.com/pincode/navi%20mumbai/400701/chemicals.html",",INDIA","Contact Person: MR. KUNAL (CEO)","Tel No. 022 - 27692528 / 0295","Acetic Acid,Acids, Amines,Calcium Carbonate,Caustic Soda Flakes,Chemicals, Chromic Acid, Ethylene","...More","Send Enquiry"
"CHEMI CARE","https://www.indianindustriesdirectory.com/companyinfo/chemi-care-mumbai-106638.html","MUMBAI","https://www.indianindustriesdirectory.com/district/mumbai/chemicals.html","-","400086","https://www.indianindustriesdirectory.com/pincode/mumbai/400086/chemicals.html",",INDIA","Contact Person: MR. NAMAN BAVISHI (DIRECTOR)","Tel No.  - 9619866651","Buy Agro chemicals, surfactants, specialty textile auxiliaries in bulk","...More","Send Enquiry"
"RAJVIN CHEMICALS PVT. LTD.","https://www.indianindustriesdirectory.com/companyinfo/rajvin-chemicals-pvt-ltd-navi-mumbai-104907.html","NAVI MUMBAI","https://www.indianindustriesdirectory.com/district/navi%20mumbai/chemicals.html","-","400705","https://www.indianindustriesdirectory.com/pincode/navi%20mumbai/400705/chemicals.html",",INDIA","Contact Person:","Tel No. 022 - 27619096","Specialty Chemicals & Bio pesticides.","...More","Send Enquiry"
"RAO A GROUP CO.","https://www.indianindustriesdirectory.com/companyinfo/rao-a-group-co-navi-mumbai-104933.html","NAVI MUMBAI","https://www.indianindustriesdirectory.com/district/navi%20mumbai/chemicals.html","-","400710","https://www.indianindustriesdirectory.com/pincode/navi%20mumbai/400710/chemicals.html",",INDIA","Contact Person: MR. AKASH RAO (DIRECTOR)","Tel No. 022 - 27689020 / 21 / 22","Mfg of Chemicals, Solvent, Mining Chemicals, Rubber Chemicals, Pharmaceuticals.","...More","Send Enquiry"
"NYNE ORGANICS PVT. LTD.","https://www.indianindustriesdirectory.com/companyinfo/nyne-organics-pvt-ltd-mumbai-62791.html","MUMBAI","https://www.indianindustriesdirectory.com/district/mumbai/chemicals.html","-","400080","https://www.indianindustriesdirectory.com/pincode/mumbai/400080/chemicals.html",",INDIA","Contact Person: MR SIDHARTH DAFTARY","Tel No. 0 - 9920180386","Dealers of Chemicals and Solvents.","...More","Send Enquiry"
"BBK SPECIALITIES","https://www.indianindustriesdirectory.com/companyinfo/bbk-specialities-navi-mumbai-103055.html","NAVI MUMBAI","https://www.indianindustriesdirectory.com/district/navi%20mumbai/chemicals.html","-","400705","https://www.indianindustriesdirectory.com/pincode/navi%20mumbai/400705/chemicals.html",",INDIA","Contact Person: MR. KAMAL","Tel No. 0 - 9323143129","Biological Products, Chemicals, Dyes And Pigments.","...More","Send Enquiry"
"KWALITY CHEMICAL INDUSTRIES PVT.LTD.","https://www.indianindustriesdirectory.com/companyinfo/kwality-chemical-industries-pvtltd-navi-mumbai-104159.html","NAVI MUMBAI","https://www.indianindustriesdirectory.com/district/navi%20mumbai/chemicals.html","-","400710","https://www.indianindustriesdirectory.com/pincode/navi%20mumbai/400710/chemicals.html",",INDIA","Contact Person: MR. SUSHIL BIRLA / MR. ATUL M BIRLA","Tel No. 0 - 9320051552","The company manufactures Toners, Azo Pigments, 
Phenolic Resins, Alkyd Resins, Offset Inks, UV Inks","...More","Send Enquiry"
"TATA CHEMICALS LTD.","https://www.indianindustriesdirectory.com/companyinfo/tata-chemicals-ltd-mumbai-26199.html","MUMBAI","https://www.indianindustriesdirectory.com/district/mumbai/chemicals.html","-","400001","https://www.indianindustriesdirectory.com/pincode/mumbai/400001/chemicals.html",",INDIA","Contact Person: MR. R. MUKUNDAN","Tel No. 022 - 6665 8282","Chemicals & Allied ,- Soda ash,  Allied chemicals, Sodium bicarbonate, Cement","...More","Send Enquiry"
"NARSIPUR CHEMICALS PVT.LTD.","https://www.indianindustriesdirectory.com/companyinfo/narsipur-chemicals-pvtltd-navi-mumbai-61313.html","NAVI MUMBAI","https://www.indianindustriesdirectory.com/district/navi%20mumbai/chemicals.html","-","400705","https://www.indianindustriesdirectory.com/pincode/navi%20mumbai/400705/chemicals.html",",INDIA","Contact Person: MR. SATYANAND RAO (MD)","Tel No.  - 7506946458/ 9869641483","Manufacturer Of Chemicals, Biosecurity Products, Acidifiers, Fumigant, Sanitizers, CIP Cleaners, PPE","...More","Send Enquiry"
"OREN HYDROCARBON PVT.LTD.","https://www.indianindustriesdirectory.com/companyinfo/oren-hydrocarbon-pvtltd-chennai-63322.html","CHENNAI","https://www.indianindustriesdirectory.com/district/chennai/chemicals.html","-","600017","https://www.indianindustriesdirectory.com/pincode/chennai/600017/chemicals.html",",INDIA","Contact Person: MR. IMRAN KHAN","Tel No. 44 - 24360205","Specialized Drilling Chemicals including Mud Chemicals used in Oil and Gas","...More","Send Enquiry"
"JHS CHEMI PHARMA PVT.LTD.","https://www.indianindustriesdirectory.com/companyinfo/jhs-chemi-pharma-pvtltd-navi-mumbai-103997.html","NAVI MUMBAI","https://www.indianindustriesdirectory.com/district/navi%20mumbai/chemicals.html","-","400701","https://www.indianindustriesdirectory.com/pincode/navi%20mumbai/400701/chemicals.html",",INDIA","Contact Person: MR. NEEL","Tel No. 022 - 27600800","Manufacturer / Supplier Solvents, Chemicals, Mixed Solvents Chemical.","...More","Send Enquiry"
"RUBO SYNTH IMPEX PVT.LTD.","https://www.indianindustriesdirectory.com/companyinfo/rubo-synth-impex-pvtltd-mumbai-97319.html","MUMBAI","https://www.indianindustriesdirectory.com/district/mumbai/chemicals.html","-","400050","https://www.indianindustriesdirectory.com/pincode/mumbai/400050/chemicals.html",",INDIA","Contact Person: MR. KURIEN ABRAHAM (EXECUTIVE DIRECTOR)","Tel No. 022 - 26427166 / 9820704034","Distributor And Supplier Of Accelerator Cbs, Aluminium Silicate, Antioxidant Sp, Antioxidant Dn, Ant","...More","Send Enquiry"
"BOMBAY CHEMICAL INDUSTRIES","https://www.indianindustriesdirectory.com/companyinfo/bombay-chemical-industries-navi-mumbai-103124.html","NAVI MUMBAI","https://www.indianindustriesdirectory.com/district/navi%20mumbai/chemicals.html","-","400701","https://www.indianindustriesdirectory.com/pincode/navi%20mumbai/400701/chemicals.html",",INDIA","Contact Person: MR.MAHESH AGRAWAL","Tel No. 022 - 25473388 / 7506507166","Mfg. And Exporters of Textile Auxiliaries Specialty Chemicals Adhesives Leather, Paper, Chrome Plati","...More","Send Enquiry"
"AQUA BIOCHEM INDUTRY","https://www.indianindustriesdirectory.com/companyinfo/aqua-biochem-indutry-navi-mumbai-102937.html","NAVI MUMBAI","https://www.indianindustriesdirectory.com/district/navi%20mumbai/chemicals.html","-","400701","https://www.indianindustriesdirectory.com/pincode/navi%20mumbai/400701/chemicals.html",",INDIA","Contact Person: MR. HIMANSHHU","Tel No. 91 - 9987782411","Process Chemicals.","...More","Send Enquiry"
"ALCHEM SYNTHON PVT.LTD.","https://www.indianindustriesdirectory.com/companyinfo/alchem-synthon-pvtltd-thane-122259.html","THANE","https://www.indianindustriesdirectory.com/district/thane/chemicals.html","-","421506","https://www.indianindustriesdirectory.com/pincode/thane/421506/chemicals.html",",INDIA","Contact Person: MR. DR. D. S. RANE","Tel No.  -","Manufacturer of Bulk Actives, Active Pharmaceutical Ingredients (API), Intermediates, Agro Chemicals","...More","Send Enquiry"
"PUSHPAM CHEMICALS PVT. LTD.","https://www.indianindustriesdirectory.com/companyinfo/pushpam-chemicals-pvt-ltd-navi-mumbai-104846.html","NAVI MUMBAI","https://www.indianindustriesdirectory.com/district/navi%20mumbai/chemicals.html","-","400705","https://www.indianindustriesdirectory.com/pincode/navi%20mumbai/400705/chemicals.html",",INDIA","Contact Person: MR. VINOD AHUJA","Tel No. 022 - 26463471","Chemical Job Works.","...More","Send Enquiry"
"SAMIRAN CHEMI TECHNOLOGIES PVT.LTD.","https://www.indianindustriesdirectory.com/companyinfo/samiran-chemi-technologies-pvtltd-navi-mumbai-105097.html","NAVI MUMBAI","https://www.indianindustriesdirectory.com/district/navi%20mumbai/chemicals.html","-","400710","https://www.indianindustriesdirectory.com/pincode/navi%20mumbai/400710/chemicals.html",",INDIA","Contact Person: MR. SHAIL ABINDRA MAVANI","Tel No. 022 - 9820238064","Active Chemicals & Aeroson Packaging.","...More","Send Enquiry"
"VINATI ORGANICS LTD","https://www.indianindustriesdirectory.com/companyinfo/vinati-organics-ltd-mumbai-20366.html","MUMBAI","https://www.indianindustriesdirectory.com/district/mumbai/chemicals.html","-","400051","https://www.indianindustriesdirectory.com/pincode/mumbai/400051/chemicals.html",",INDIA","Contact Person: MR. MOHIT","Tel No. 022 - 61240444 / 39484444","Leading manufacturer of specialty chemical and organic intermediaries. Speciality Aromatics, Special","...More","Send Enquiry"
"BIC CHEMICALS & PACKAGING PVT. LTD.","https://www.indianindustriesdirectory.com/companyinfo/bic-chemicals-and-packaging-pvt-ltd-thane-41053.html","THANE","https://www.indianindustriesdirectory.com/district/thane/chemicals.html","-","401506","https://www.indianindustriesdirectory.com/pincode/thane/401506/chemicals.html",",INDIA","Contact Person: MR. GLADSTON LOPES","Tel No. 0 - 2525 661053","Chemical & Packaging Products","...More","Send Enquiry"
"HINDALCO INDUSTRIES LIMITED","https://www.indianindustriesdirectory.com/companyinfo/hindalco-industries-limited-mumbai-51098.html","MUMBAI","https://www.indianindustriesdirectory.com/district/mumbai/chemicals.html","-","400013","https://www.indianindustriesdirectory.com/pincode/mumbai/400013/chemicals.html",",INDIA","Contact Person: MRS. GEETIKA RAGHUNANDAN ANAND","Tel No. 022 - 69477000 / 69477150","Oil Separator Oil Catcher Treatment Plants","...More","Send Enquiry"
"GLOBAL EXPORTS","https://www.indianindustriesdirectory.com/companyinfo/global-exports-navi-mumbai-95431.html","NAVI MUMBAI","https://www.indianindustriesdirectory.com/district/navi%20mumbai/chemicals.html","-","410210","https://www.indianindustriesdirectory.com/pincode/navi%20mumbai/410210/chemicals.html",",INDIA","Contact Person: MS. JALPA PRADIP SHAH","Tel No.  - 9833746819","Agricultural Commodities, Engineering Products, Chemicals, Towels, Bed Sheets, FOODSTUFFS like Rice,","...More","Send Enquiry"
"AARTI INDUSTRIES LTD.","https://www.indianindustriesdirectory.com/companyinfo/aarti-industries-ltd-mumbai-127151.html","MUMBAI","https://www.indianindustriesdirectory.com/district/mumbai/chemicals.html","-","400083","https://www.indianindustriesdirectory.com/pincode/mumbai/400083/chemicals.html",",INDIA","Contact Person: SHRI RAJENDRA V. GOGRI","Tel No. 022 - 6943 6100 / 6200","Active Pharmaceutical Ingredients Intermediates, Fine Chemicals,
Custom Synthesis Chemicals (PR Pro","...More","Send Enquiry"
"URAI IMPEX PVT.LTD.","https://www.indianindustriesdirectory.com/companyinfo/urai-impex-pvtltd-mumbai-8334.html","MUMBAI","https://www.indianindustriesdirectory.com/district/mumbai/chemicals.html","-","400093","https://www.indianindustriesdirectory.com/pincode/mumbai/400093/chemicals.html",",INDIA","Contact Person: MR.KARNAV GANDHI (CEO)","Tel No. 0 - 9819607951","Waste Water Treatment Plant, Chemicals, Ingredients, Raw Materials, International Business, Lab Equi","...More","Send Enquiry"
"INDO CHEMICALS PVT. LTD.","https://www.indianindustriesdirectory.com/companyinfo/indo-chemicals-pvt-ltd-delhi-52267.html","DELHI","https://www.indianindustriesdirectory.com/district/delhi/chemicals.html","-","110085","https://www.indianindustriesdirectory.com/pincode/delhi/110085/chemicals.html",",INDIA","Contact Person: MR. DINESH GUPTA","Tel No. 0 - 9560292201 / 9810003215","Fillers Masterbatch, Speciality Fillers, Vietnam Uncoated Ground Calcium Carbonate, Vietnam Coated G","...More","Send Enquiry"
"DEEPA CHEMICALS","https://www.indianindustriesdirectory.com/companyinfo/deepa-chemicals-navi-mumbai-103548.html","NAVI MUMBAI","https://www.indianindustriesdirectory.com/district/navi%20mumbai/chemicals.html","-","400703","https://www.indianindustriesdirectory.com/pincode/navi%20mumbai/400703/chemicals.html",",INDIA","Contact Person: MR. TUSHAR SHARMA","Tel No. 022 - 27682696","Mfg. Of Basic Dyes.","...More","Send Enquiry"
"NARKHEDE CHEMICALS","https://www.indianindustriesdirectory.com/companyinfo/narkhede-chemicals-navi-mumbai-104523.html","NAVI MUMBAI","https://www.indianindustriesdirectory.com/district/navi%20mumbai/chemicals.html","-","400705","https://www.indianindustriesdirectory.com/pincode/navi%20mumbai/400705/chemicals.html",",INDIA","Contact Person: MR. RAJ NARKHEDE","Tel No. 0 - 9320146532","Providing Various Resins, Catalyst & Other Chemicals","...More","Send Enquiry"
"ADISHANK CHEMICALS PVT.LTD.","https://www.indianindustriesdirectory.com/companyinfo/adishank-chemicals-pvtltd-thane-35693.html","THANE","https://www.indianindustriesdirectory.com/district/thane/chemicals.html","-","421506","https://www.indianindustriesdirectory.com/pincode/thane/421506/chemicals.html",",INDIA","Contact Person: MR. AMIT BAVISI","Tel No. 022 - 2621570/71/ 9324787427","Manufacturer of Specialty Chemicals and Additives. Tri Phenyl Phosphite, Tri Nonyl Phenyl Phosphite,","...More","Send Enquiry"
"ASV MULTICHEMIE PVT.LTD.","https://www.indianindustriesdirectory.com/companyinfo/asv-multichemie-pvtltd-navi-mumbai-102988.html","NAVI MUMBAI","https://www.indianindustriesdirectory.com/district/navi%20mumbai/chemicals.html","-","400701","https://www.indianindustriesdirectory.com/pincode/navi%20mumbai/400701/chemicals.html",",INDIA","Contact Person:","Tel No. 022 - 27642514  / 27642516","Manufacturer of Specialty Lubricants & MRO Technical Chemicals.","...More","Send Enquiry"
"ALKYL AMINES CHEMICALS LTD.","https://www.indianindustriesdirectory.com/companyinfo/alkyl-amines-chemicals-ltd-navi-mumbai-36758.html","NAVI MUMBAI","https://www.indianindustriesdirectory.com/district/navi%20mumbai/chemicals.html","-","400703","https://www.indianindustriesdirectory.com/pincode/navi%20mumbai/400703/chemicals.html",",INDIA","Contact Person: MR. KIRAT M. PATEL (EXECUTIVE DIRECTOR)","Tel No. 022 - 67946600","Global supplier and leader in aliphatic amine, amine derivative and Specialty Chemicals.","...More","Send Enquiry"
"GUARNIFLON INDIA PVT.LTD.","https://www.indianindustriesdirectory.com/companyinfo/guarniflon-india-pvtltd-mumbai-12811.html","MUMBAI","https://www.indianindustriesdirectory.com/district/mumbai/chemicals.html","-","400072","https://www.indianindustriesdirectory.com/pincode/mumbai/400072/chemicals.html",",INDIA","Contact Person: MR. ANANTH NARAYAN MANI","Tel No. 260 - 6541731","Industrial Chemical and Allied.","...More","Send Enquiry"
"PROCHEM INDUSTRIES","https://www.indianindustriesdirectory.com/companyinfo/prochem-industries-navi-mumbai-104829.html","NAVI MUMBAI","https://www.indianindustriesdirectory.com/district/navi%20mumbai/chemicals.html","-","400705","https://www.indianindustriesdirectory.com/pincode/navi%20mumbai/400705/chemicals.html",",INDIA","Contact Person: MR. G. K. KOTASTHANE","Tel No. 022 - 27670265 / 27633246","Mfg. & Dealer of Chemical, Lubricant, PVC Stabilizer.","...More","Send Enquiry"
"BANSAL TRADING COMPANY","https://www.indianindustriesdirectory.com/companyinfo/bansal-trading-company-delhi-125524.html","DELHI","https://www.indianindustriesdirectory.com/district/delhi/chemicals.html","-","110034","https://www.indianindustriesdirectory.com/pincode/delhi/110034/chemicals.html",",INDIA","Contact Person: MS. SRISHTI","Tel No. 011 - 45086000 / 9319981500","Best Chemical Supplier in Delhi. Alkyd Resin, Chemicals, Fatty Acids, Glycerin.","...More","Send Enquiry"
"OSWAL CHEMICALS","https://www.indianindustriesdirectory.com/companyinfo/oswal-chemicals-mumbai-161121.html","MUMBAI","https://www.indianindustriesdirectory.com/district/mumbai/chemicals.html","-","400072","https://www.indianindustriesdirectory.com/pincode/mumbai/400072/chemicals.html",",INDIA","Contact Person: MS.AISHWARYA SALUNKE","Tel No. 0 - 7228081801","Deals In Various Basic Chemicals, Acids, Bulk Pharma Intermediates, And Dye Intermediates.","...More","Send Enquiry"
"JMF PERFORMANCE MATERIALS PVT. LTD.","https://www.indianindustriesdirectory.com/companyinfo/jmf-performance-materials-pvt-ltd-mumbai-160856.html","MUMBAI","https://www.indianindustriesdirectory.com/district/mumbai/chemicals.html","-","400021","https://www.indianindustriesdirectory.com/pincode/mumbai/400021/chemicals.html",",INDIA","Contact Person: MR. CHINTAN MAKHECHA","Tel No. 022 - 49716845 /9136906699","Distribute chemical and rubber products.","...More","Send Enquiry"
"VISAAR PROACT SOLUTIONS","https://www.indianindustriesdirectory.com/companyinfo/visaar-proact-solutions-pune-161765.html","PUNE","https://www.indianindustriesdirectory.com/district/pune/chemicals.html","-","411057","https://www.indianindustriesdirectory.com/pincode/pune/411057/chemicals.html",",INDIA","Contact Person: MR. SAMEER PATIL (SALES MANAGER)","Tel No. 0 - 8850183899","Authorized Distributor for Gutmann PVB in India. Packaging, Chemicals & Minerals.","...More","Send Enquiry"
"JAIN ACID AND CHEMICALS","https://www.indianindustriesdirectory.com/companyinfo/jain-acid-and-chemicals-nagpur-161702.html","NAGPUR","https://www.indianindustriesdirectory.com/district/nagpur/chemicals.html","-","440032","https://www.indianindustriesdirectory.com/pincode/nagpur/440032/chemicals.html",",INDIA","Contact Person: MR.SANTOSH JAIN","Tel No.  - 9850051411","Specializing in dealing with top-tier products","...More","Send Enquiry"
"SHIVA CHEMICALS & PHARMACEUTICALS","https://www.indianindustriesdirectory.com/companyinfo/shiva-chemicals-and-pharmaceuticals-haryana-161988.html","HARYANA","https://www.indianindustriesdirectory.com/district/haryana/chemicals.html","-","131001","https://www.indianindustriesdirectory.com/pincode/haryana/131001/chemicals.html",",INDIA","Contact Person: MR. RAMAN SHARMA (DIRECTOR)","Tel No.  -  8708398924","Export chemicals","...More","Send Enquiry"
"CHEM INTEL","https://www.indianindustriesdirectory.com/companyinfo/chem-intel-mumbai-156123.html","MUMBAI","https://www.indianindustriesdirectory.com/district/mumbai/chemicals.html","-","400092","https://www.indianindustriesdirectory.com/pincode/mumbai/400092/chemicals.html",",INDIA","Contact Person: MR. DEV KOTHARI","Tel No. 0 - 7977240562","Chemicals and solvents Dealer.","...More","Send Enquiry"
"PROTECTIVE POLYMERS LTD.","https://www.indianindustriesdirectory.com/companyinfo/protective-polymers-ltd-hampshire-156967.html","HAMPSHIRE","https://www.indianindustriesdirectory.com/district/hampshire/chemicals.html","-","000000","https://www.indianindustriesdirectory.com/pincode/hampshire/000000/chemicals.html",",UK","Contact Person: MR. SIMON FOLEY (MANAGER)","Tel No. 01623 - 3390/441106","Manufacturers of high performance liquid membranes for roofing applications","...More","Send Enquiry"
"INOXGFL","https://www.indianindustriesdirectory.com/companyinfo/inoxgfl-noida-158051.html","NOIDA","https://www.indianindustriesdirectory.com/district/noida/chemicals.html","-","201301","https://www.indianindustriesdirectory.com/pincode/noida/201301/chemicals.html",",INDIA","Contact Person: MR. DEVANSH JAIN","Tel No. 0120 - 6149600","Chemical, Renewable Energy.","...More","Send Enquiry"
